"pdfNumber","pdfQuestion","pdfAnswer"
"109","¿Por qué motivo es necesario que el sistema de distribución esté correctamente reglado?","Para que la apertura y cierre de las válvulas sea en el momento oportuno y, con ello, no aumentar el consumo de carburante."
"110","En los motores de combustión, si las válvulas de admisión de los cilindros no se","abren en el momento adecuado: Disminuye la potencia y aumenta el consumo de carburante."
"111","En los motores de combustión, si las válvulas de admisión de los cilindros no se","cierran en el momento adecuado: Se producen pérdidas de potencia, aumentando el consumo de carburante)."
"112","En los motores de combustión, si las válvulas de escape de los cilindros no se","abren en el momento adecuado: Influirá en el consumo de carburante."
"113","En los motores de combustión, si las válvulas de escape de los cilindros no se","cierran en el momento adecuado: Aumentará el consumo de carburante."
"114","Un adecuado funcionamiento del sistema de lubricación, ¿puede influir en el consumo de carburante?","Sí, ya que, al disminuirse el rozamiento de las piezas, se reducen las pérdidas de potencia."
"115","La calidad del aceite del sistema de lubricación que se utilice en los motores, ¿puede influir en el consumo de carburante?","Sí, ya que puede reducir el rozamiento de las piezas y, por tanto, las pérdidas de potencia."
"116","Si el aceite utilizado para lubricar un motor de combustión es de baja calidad, ¿puede influir en el consumo de carburante?","Sí, puede aumentar ya que no se lubrican adecuadamente las piezas y aumenta las pérdidas de potencia."
"117","Utilizar un aceite de alta calidad para lubricar un motor de combustión, ¿tiene influencia en el consumo de carburante?","Sí, disminuyendo el consumo ya que se reduce el rozamiento de las piezas disminuyendo las pérdidas de potencia."
"118","El aceite que se utilice para la lubricación de un motor, ¿puede influir en el consumo de carburante?","Sí, ya que, si es un aceite de alta calidad, las pérdidas de potencia son menores."
"119","Cuando se utiliza un aceite de baja calidad para lubricar un motor:","Puede aumentar el consumo de carburante al aumentar el rozamiento de las piezas."
"120","Cuando se utiliza un aceite de alta calidad para lubricar un motor:","Se reduce el consumo de carburante."
"121","Un adecuado mantenimiento del sistema de lubricación de un motor:","Influye en el consumo de carburante."
"122","Un inadecuado mantenimiento del sistema de lubricación de un motor:","Puede aumentar el consumo de carburante."
"123","El funcionamiento del sistema de refrigeración de un motor, ¿influye en el consumo de carburante?","Sí, ya que, si el motor no alcanza la temperatura adecuada de funcionamiento, aumenta el consumo de carburante."
"124","Una avería en el termostato, ¿puede hacer que el motor de un automóvil consuma más carburante?","Sí, si se estropea y se queda abierto."
"125","El filtro del aire del sistema de alimentación de un motor de combustión debe sustituirse periódicamente, ¿qué sucedería si no se hiciera?","Aumentaría el consumo de carburante."
"126","El estado en el que se encuentre el filtro del aire del sistema de alimentación de un motor de combustión, ¿puede influir en el consumo de carburante?","Sí, ya que, si está sucio, aumenta el consumo."
"127","El tipo de caja de velocidades que monte un automóvil, ¿tiene influencia en el consumo de carburante?","Sí, las cajas de velocidades con cambio automático hacen que el automóvil consuma más carburante."
"128","El tipo de caja de velocidades que monte un automóvil, ¿tiene influencia en el consumo de carburante?","Sí, porque una caja de velocidades con más número de relación de marchas permite reducir el consumo de carburante."
"129","El que un automóvil monte una caja de velocidades con cambio manual o con cambio automático, ¿influye en el consumo de carburante?","Sí, con las cajas de velocidades con cambio automático el consumo es mayor)."
"131","El tipo de embrague que monte un automóvil, ¿puede influir en el consumo de carburante?","Sí, con los embragues automáticos se consume más."
"140","El consumo de carburante de un vehículo pesado provisto de un motor de","combustión puede ser mayor de lo normal dependiendo: Del mantenimiento que se realice al vehículo, el perfil de la carretera y el tipo de conducción."
"143","Entre los factores que influyen en el consumo de carburante de un vehículo","pesado provisto de un motor de combustión se encuentra: El mantenimiento que se realice al vehículo, el perfil de la carretera y la aerodinámica del vehículo."
"144","Entre los factores que influyen en el consumo de carburante de un vehículo","pesado se encuentra: El mantenimiento que se realice al vehículo, el perfil de la carretera y el estado en el que se encuentre el filtro del aire"
"219","Entre los factores que influyen en el consumo de carburante de un vehículo","pesado se encuentran: Las revoluciones por minuto del motor."
"250","Para no aumentar el consumo de carburante, principalmente cuando se circula","por carretera, es conveniente: Mantener los cristales de las ventanillas subidos."
"251","Además de reducir el consumo de carburante, realizar una conducción","económica presenta una serie de ventajas. Señale la respuesta incorrecta. Permite aumentar los intervalos aconsejados por el fabricante del vehículo en cuanto a las revisiones de mantenimiento."
"253","Además de reducir el consumo de carburante, realizar una conducción","económica presenta otras ventajas. Señale la respuesta correcta. Se contamina acústicamente menos."
"254","Además de reducir el consumo de carburante, realizar una conducción","económica presenta otras ventajas. Señale la respuesta correcta. Se prolonga la vida del motor."
"255","Además de reducir el consumo de carburante, realizar una conducción","económica presenta otras ventajas. Señale la respuesta correcta. La contaminación ambiental es menor."
"256","Además de reducir el consumo de carburante, realizar una conducción","económica presenta otras ventajas. Señale la respuesta correcta. Reduce los desgastes mecánicos."
"257","Además de reducir el consumo de carburante, realizar una conducción","económica presenta otras ventajas. Señale la respuesta correcta. El desgaste de los neumáticos es menor."
"264","Además de influir en la seguridad del vehículo y, por tanto, de la circulación, ¿qué supone llevar un correcto mantenimiento del vehículo?","Evitar un aumento del consumo de carburante."
"275","Conducir utilizando la relación de marchas más alta que sea posible,","dependiendo de la velocidad a la que se circule, tiene como ventaja: Mayor confort y menor consumo y contaminación acústica."
"276","Conducir utilizando la relación de marchas más alta que sea posible,","dependiendo de la velocidad a la que se circule, tiene como ventaja: Una menor contaminación acústica y ambiental, menor consumo y menor desgaste mecánico."
"277","Conducir utilizando la relación de marchas más alta que sea posible,","dependiendo de la velocidad a la que se circule, tiene como ventaja: Un menor consumo de carburante."
"283","¿Qué pérdidas de energía se producen en el motor?","Calor disipado a través del sistema de refrigeración."
"284","¿Qué pérdidas de energía se producen en el motor?","Evaporación de componentes del combustible."
"285","¿Qué pérdidas de energía se producen en el motor?","Rozamientos de piezas del motor."
"286","¿Qué pérdidas de energía se producen en el motor?","• Gases de escape a elevada temperatura. • Calor disipado a través del sistema de refrigeración. • Rozamientos de piezas del motor. • Todas las respuestas son correctas."
"287","¿Qué parte generada por la combustión del carburante en un vehículo llega a la transmisión?","0,4."
"288","En vehículos cargados y circulando a baja velocidad, la resistencia que requiere","mayor energía para ser vencida es la... resistencia a la rodadura."
"289","En un vehículo cargado que circula a baja velocidad, la resistencia a la rodadura es…","la que requiere más energía para su vencimiento."
"290","¿Qué porcentaje, del total de fuerzas resistentes, supone la resistencia a la rodadura para un vehículo cargado que circula a baja velocidad?","Hasta un 40 %."
"291","¿Qué resistencia es la que requiere mayor energía para ser vencida por un vehículo cargado que circula a baja velocidad?","Resistencia a la rodadura."
"292","¿Influye la temperatura en el consumo de combustible?","Sí, las temperaturas bajas incrementan la resistencia aerodinámica."
"293","¿Porqué una bajada de temperatura incide en el consumo de combustible?","Porque se incrementa la densidad del aire, aumentando la resistencia aerodinámica y el consumo."
"294","¿En cuánto puede llegar a incrementar el consumo el viento en contra?","Hasta un 18 % con un viento de 36 km/h."
"295","Un viento en contra de 18 km/h incrementa el consumo en un…","0,08."
"296","Un viento en contra de 36 km/h incrementa el consumo en un…","0,18."
"297","Una bajada de temperatura…","Aumenta el consumo de combustible."
"298","Una bajada de temperatura de 10 ºC…","aumenta el consumo de combustible en un 4 %."
"299","¿En qué porcentaje reducen el consumo de combustible los deflectores en techo?","0,06."
"300","El mal estado del filtro de aceite…","incrementa el consumo de carburante."
"301","¿Qué acciones debe llevar a cabo el conductor en relación con la carga para ahorrar carburante?","Protegerla con lonas bien tensadas."
"302","¿Qué acciones debe llevar a cabo el conductor en relación con la carga para ahorrar carburante?","• Fijar bien los toldos • Estibarla correctamente. • Protegerla con lonas tensadas. • Todas las respuestas son correctas."
"303","¿Con qué siglas se conocen los vehículos eléctricos híbridos enchufables?","PEHV."
"304","Los vehículos eléctricos híbridos enchufables…","tienen mayor autonomía, en modo eléctrico, que los híbridos convencionales."
"305","¿Qué tecnologías de batería tienen los vehículos eléctricos actuales?","Plomo, Níquel y Litio."
"306","¿Cuál de las siguientes es una tecnología de batería de vehículo eléctrico?","Plomo."
"307","¿Cuál de las siguientes es una tecnología de batería de vehículo eléctrico?","Níquel."
"308","¿Qué tipo de batería de vehículo eléctrico es la que tiene mejores prestaciones?","Litio."
"309","¿Qué tipo de batería de vehículo eléctrico es la que tiene mayor autonomía?","Litio."
"310","¿Qué tipo de batería de vehículo eléctrico es la que tiene menor peso?","Litio."
"311","¿Qué tipo de batería de vehículo eléctrico es la que reduce la tara los vehículos?","Litio."
"312","¿Cuál es una característica de la batería de Litio de un vehículo eléctrico?","Permite cargas parciales."
"313","¿Cuál es una característica de la batería de Litio de un vehículo eléctrico?","No requiere mantenimiento."
"314","Los motores eléctricos utilizados en los vehículos pesados son…","de corriente alterna."
"315","¿Es importante la anticipación en la conducción eficiente?","Sí."
"316","¿Qué debe hacerse ante un vehículo que circula unos cuantos vehículos por delante y que comienza a frenar?","Levantar el pie del acelerador."
"317","El rodaje por inercia con la marcha engranada…","Supone ahorrar carburante y reducir el uso del freno."
"318","¿Qué es importante hacer con circulación densa?","Acelerar y frenar siempre algo menos que el vehículo precedente."
"319","¿De qué depende la inercia de un vehículo?","De su masa, velocidad y volumen."
"320","¿Qué puede hacer variar la inercia de un vehículo?","El uso del freno."
"321","¿Qué ventaja tiene aprovechar la inercia del vehículo?","Puede circularse sin consumir carburante."
"322","¿Qué ocurre en un motor de inyección electrónica cuando se circula con unas revoluciones cercanas al ralentí?","El consumo de carburante es nulo."
"323","¿Qué es recomendable hacer ante la necesidad de una deceleración?","Rodar aprovechando la inercia con una marcha engranada."
"324","En las deceleraciones debe evitarse…","Rodar al ralentí."
"325","¿Cuándo es más efectivo el freno motor?","A altas revoluciones del motor."
"327","¿Qué debe realizarse para aprovechar mejor la inercia de un vehículo?","Mantener la velocidad media constante."
"328","¿Qué es recomendable en las incorporaciones a una vía de circulación?","Realizar los cambios de marcha en la zona más alta del par máximo."
"329","¿Qué es recomendable en la salida de una vía de circulación?","Comenzar a reducir la velocidad durante la incorporación al carril de deceleración."
"330","¿Qué es recomendable en las deceleraciones previas a una detención?","Rodar con una marcha engranada."
"331","¿Qué debe tener en cuenta para el correcto trazado de una curva?","La anchura del carril y el tipo de firme."
"332","¿Qué debe llevar a cabo para el correcto trazado de una curva?","Preparar la curva antes de iniciarla."
"333","Durante el trazado de una curva…","Debe mantenerse una velocidad constante y acelerar progresivamente a la salida de la misma."
"334","¿Qué es aconsejable durante el trazado de una curva?","Mantener una velocidad constante."
"335","En pendientes ascendentes, se debe…","Cambiar de marcha si las revoluciones se colocan por debajo de la zona verde del cuentarrevoluciones."
"336","¿Qué debe hacerse en los adelantamientos?","• Calcular el adelantamiento con suficiente antelación • Tener una velocidad mayor que la del vehículo adelantado al cambiar de carril. • Comenzar a acelerar antes de cambiar de carril. • Todas las respuestas son correctas."
"337","Una característica de la conducción en zonas de congestión del tráfico es…","Los continuos arranques y detenciones."
"338","En zonas urbanas o con congestión del tráfico, es conveniente…","Conducir con bastante anticipación."
"339","En relación con la presión de los neumáticos, es recomendable un control…","Visual diario."
"340","¿Qué son los Sistemas de Transporte Inteligente?","Un conjunto de aplicaciones informáticas y de comunicaciones destinadas a mejorar la productividad y seguridad del transporte."
"341","¿Cuál es uno de los objetivos de los SIT?","Optimizar la utilización de las infraestructuras."
"343","¿Cuál es uno de los ITS o SIT relacionados con la optimización de las infraestructuras?","Sistemas de control de señales."
"344","¿Cuál es una de las funcionalidades de los SAE?","Mejora de la explotación de redes de transporte público."
"345","Dentro de los Sistemas de Transporte Inteligente se encuentran los denominados V2V, ¿cuál es su funcionalidad característica?","Establecer comunicación entre dos vehículos."
"346","Dentro de los Sistemas de Transporte Inteligente se encuentran los denominados I2V, ¿cuál es su funcionalidad característica?","Establecer comunicación entre la infraestructura y los vehículos que circulan por ella."
"347","Dentro de los Sistemas de Transporte Inteligente se encuentran los denominados DAI, ¿cuál es su funcionalidad?","• Gestión de peajes en accesos a centros urbanos. • Detección de congestiones y accidentes. • Control del interior de túneles. • Todas las respuestas son correctas."
"348","¿Qué es el servicio eCall?","Un sistema de llamada de auxilio en caso de accidente a un número de emergencia acordado a nivel europeo."
"349","Los SIT, en relación con la gestión integral de túneles, ¿qué funcionalidades pueden tener?","• Control de la ventilación. • Auxilio en carretera. • Información general al usuario. • Todas las respuestas son correctas. Objetivo 1.3 bis: Ser capaz de anticipar y evaluar los riesgos del tráfico y de adaptarse a ellos."
"6","¿Qué es el airbag?","Un elemento eficaz de seguridad pasiva que debe ser convenientemente combinado con el cinturón de seguridad."
"11","¿En qué consisten las maniobras de evasión activas ante un accidente?","Son las que se realizan para intentar evitar el impacto."
"19","El cinturón de seguridad es un mecanismo de seguridad:","pasiva."
"20","Los conductores de bicicletas tienen prioridad de paso respecto a los vehículos de motor:","circulando en grupo, cuando el primero haya iniciado ya el cruce o haya entrado en una glorieta."
"23","El reposacabezas es un elemento de seguridad:","pasiva."
"24","El sistema de frenado ABS (antiblock brake system) es un elemento de seguridad:","activa."
"35","Para una mayor eficacia, el cinturón de seguridad debe ajustarse al cuerpo del","ocupante de un vehículo... sin holguras, ni apretado ni flojo."
"37","Para que el airbag tenga un efecto positivo en sus funciones como elemento de seguridad pasiva, ¿es necesario llevar correctamente abrochado el cinturón de seguridad?","Sí, siempre."
"38","Todos los vehículos, obligatoriamente, deben tener instalados elementos…","de seguridad activa y de seguridad pasiva."
"41","La seguridad activa, ¿qué otra denominación tiene?","Seguridad primaria."
"42","La seguridad pasiva, ¿de qué otra forma se denomina?","Seguridad secundaria."
"57","Mientras está lloviendo, ¿cuál es el momento en el que hay que tomar más precauciones?","Durante las primeras gotas ya que se forma una película sobre el pavimento, aumentando la distancia de frenada."
"69","¿A qué velocidad máxima es aconsejable circular cuando se hace uso de cadenas?","50 km/h."
"77","¿Cuál es la principal causa de que los niños sean un grupo de riesgo cuando actúan como peatones?","Su baja estatura hace que tengan un campo visual limitado."
"92","Se estima que, ante un impacto del vehículo, el uso del airbag puede reducir el","riesgo de muerte de sus ocupantes en más de un... 30%."
"107","¿Qué acciones acrecientan el riesgo de los peatones en la vía?","Bajar del vehículo sin comprobar si viene otro."
"111","Los conductores de bicicletas estarán obligados a utilizar cascos de protección:","cuando circulen en vías interurbanas, con carácter general."
"126","Si un vehículo dispone de un sistema antipatinaje de ruedas ASR, ¿deberá tener también un sistema de frenos ABS?","Sí, ya que el calculador del ABS maneja también el ASR."
"127","¿Es posible que se produzca el fenómeno de aquaplaning en un vehículo pesado?","Sí, aunque en una proporción menor a los turismos."
"155","¿Qué acción no se debe realizar en un aquaplaning?","Frenar."
"157","De los siguientes dispositivos, ¿cuáles están considerados como elementos de seguridad activa?","Las ruedas."
"158","De los siguientes dispositivos, ¿cuál está considerado como elementos de seguridad pasiva?","El airbag."
"159","Con respecto a la utilización del cinturón de seguridad, se deberá tener en cuenta que:","su regulación en altura puede afectar a la seguridad de los viajeros."
"160","Con respecto a la utilización del cinturón de seguridad, se deberá tener en cuenta que:","una colocación incorrecta puede provocar graves lesiones en caso de accidente."
"162","Con respecto a la utilización del cinturón de seguridad, se deberá tener en cuenta que:","la utilización de reguladores de presión reduce considerablemente la eficacia del cinturón de seguridad."
"163","¿Cuáles son los mecanismos que componen el airbag?","Un cojín inflable, un detector de impacto y un sistema de inflado."
"164","En caso de colisión o alcance, los reposacabezas evitan o disminuyen considerablemente:","la gravedad de las lesiones en el cuello y en las cervicales."
"165","¿Cuáles son consideradas medidas preventivas básicas para una conducción segura?","Respetar las normas de circulación."
"166","De los que se citan, ¿qué elemento está considerado como de seguridad pasiva?","El reposacabezas."
"167","De los elementos de seguridad que se citan, ¿cuál está considerado como elemento de seguridad activa?","El sistema de frenado."
"168","En condiciones climatológicas adversas, el conductor:","deberá adaptar la conducción a las condiciones de la vía."
"169","Ante un posible impacto contra otro vehículo, ¿cuál sería una maniobra de evasión pasiva?","Accionar el claxon."
"170","Un aviso de carretera por presencia de nieve con nivel de circulación amarillo significa:","que la circulación de camiones está prohibida."
"171","En una carretera con aviso de nivel negro de circulación por nevadas, los vehículos pesados:","no podrán circular ya que la carretera se encuentra cortada."
"172","En una carretera, un aviso de nivel verde de circulación por nevada significa que:","los camiones tienen prohibición de adelantar."
"173","Con nivel de circulación verde por nevada, la velocidad máxima recomendada","en una carretera que no sea autopista ni autovía es de: 80 km/h."
"174","Con un nivel de circulación rojo por nevada, la calzada:","está totalmente cubierta de nieve y es obligatorio el uso de cadenas para circular."
"175","Con nivel de circulación rojo por nevada, la velocidad máxima es de:","30 km/h."
"176","Con nivel de circulación rojo por nevada:","tienen prohibida la circulación autobuses y camiones"
"177","Con un nivel de circulación amarillo por nevada, la calzada:","comienza a cubrirse de nieve."
"178","Una vez colocadas las cadenas, hay que parar a los:","100 metros para tensarlas."
"179","Las cadenas deben tensarse:","una vez recorridos los primeros 100 metros."
"180","En la conducción sobre hielo, el momento más peligroso es el del deshielo porque:","el peligro de deslizamiento es mayor."
"181","En caso de nevada, si se nos avisa que la carretera tiene un nivel de circulación negro:","no podremos circular, la carretera está cortada."
"182","Un aviso de carretera con nivel rojo por nieve significa que:","no pueden circular autobuses ni camiones."
"183","En una carretera con aviso de nivel amarillo por nieve, un autobús:","puede circular a una velocidad máxima de 60 km/h."
"184","En una carretera con aviso de nivel amarillo por nieve, un camión:","no puede circular."
"185","En el momento del deshielo:","se incrementa el peligro de deslizamiento."
"186","Existe propensión a la aparición de hielo en:","zonas sombrías."
"188","¿Qué circunstancias de la vía condicionan la actitud del conductor?","• El trazado. • El pavimento. • El nivel de adherencia. • Todas las respuestas son correctas."
"189","¿Qué circunstancias de la vía condicionan la actitud del conductor?","Las características geométricas y físicas."
"190","¿Qué circunstancias de la vía condicionan la actitud del conductor?","• Las condiciones meteorológicas. • El número de vehículos. • El tipo de tráfico. • Todas las respuestas son correctas."
"191","¿Qué circunstancias de la vía condicionan la actitud del conductor?","• Las condiciones ambientales. • El nivel de adherencia. • El trazado. • Todas las respuestas son correctas."
"192","¿Cómo se clasifican, entre otras, las carreteras, según la normativa estatal?","Autovías y carreteras multicarril."
"193","¿Cómo se clasifican, entre otras, las carreteras, según la normativa estatal?","Autopistas y carreteras convencionales."
"194","¿Son las carreteras multicarril un tipo de carretera definido en la normativa estatal?","Sí."
"195","¿Qué caracteriza a las autopistas, según la normativa estatal?","Constan de varias calzadas en cada sentido de la circulación."
"196","¿Qué caracteriza a las autopistas, según la normativa estatal?","No pueden cruzar ni ser cruzadas por otras vías."
"197","¿Qué caracteriza a las autovías, según la normativa estatal?","No reúnen todos los requisitos de las autopistas."
"198","¿Qué caracteriza a las autovías, según la normativa estatal?","Los accesos a las propiedades colindantes están limitados."
"199","¿Qué es el firme de una carretera?","Un conjunto de capas, de diversos materiales seleccionados, colocadas sobre la explanada de la carretera."
"200","A nivel de seguridad ¿en qué incide la textura del pavimento de una carretera?","En las posibilidades de deslizamiento."
"201","En general, la mayor rugosidad del pavimento de una carretera…","Incrementa la seguridad."
"202","¿Es la señalización un elemento de seguridad activa?","Sí, es un elemento de seguridad activa."
"203","¿Cómo puede valorarse la eficacia de las señales de circulación?","• Por su capacidad de transmitir información. • Por su efecto positivo sobre los índices de siniestralidad. • Por su efecto positivo sobre la seguridad. • Todas las respuestas son correctas."
"204","En el sistema de señales de tráfico, ¿qué son las señales de balizamiento?","Un conjunto de elementos que se utilizan para orientar al tráfico o indicar lugares de peligro."
"206","¿Cuáles son las señales de balizamiento más frecuentes en las carreteras?","Paneles de mensajes variables."
"207","¿Cómo puede definirse la ""circulación continua""?","La que no tiene elementos de regulación fijos externos al flujo de tráfico."
"208","¿Cómo puede definirse la ""circulación discontinua""?","La que tiene elementos de regulación fijos externos al flujo de tráfico."
"209","¿Qué variables existen para definir el tráfico existente en una carretera?","Intensidad del tráfico."
"210","¿Qué variables existen para definir el tráfico existente en una carretera?","Densidad del tráfico."
"211","¿A qué se denomina intensidad de tráfico?","Al número de vehículos que pasa por una zona concreta de una carretera por unidad de tiempo"
"212","¿Cómo se mide la intensidad de tráfico?","En vehículos/hora."
"213","¿Qué factores inciden en una mayor variación de la intensidad de tráfico en una zona determinada de carretera?","La proximidad de una gran población."
"214","¿Qué factores inciden en la una menor variación de la intensidad de tráfico en una zona determinada de carretera?","La mayor proporción de tráfico pesado."
"215","¿A qué se denomina densidad de tráfico?","Al número de vehículos que hay en un tramo de carretera por unidad de longitud en un momento concreto."
"216","¿Qué son las carreteras multicarril, según la normativa estatal?","• Las autopistas. • Las autovías. • Las autopistas y autovías • Ninguna respuesta es correcta."
"217","¿Qué son las carreteras multicarril, según la normativa estatal?","Todas las que tienen, al menos, dos carriles por sentido de circulación."
"218","¿Pueden, según la normativa estatal, las carreteras multicarril tener cruces a nivel?","Sí."
"219","¿Qué son las carreteras convencionales, según la normativa estatal?","• Las que no reúnen las características de las autopistas. • Las que no reúnen las características de las autovías. • Las que no reúnen las características de las carreteras multicarril. • Todas las respuestas son correctas."
"220","Según la normativa estatal, ¿qué caracteriza a los itinerarios de interés general?","Constituir el acceso a un puerto de interés general."
"221","Según la normativa estatal, ¿qué caracteriza a los itinerarios de interés general?","• Servir de acceso a los principales puestos fronterizos. • Formar parte de los principales itinerarios de tráfico internacional. • Enlazar las Comunidades Autónomas, conectando los principales núcleos de población. • Todas las respuestas son correctas."
"222","El valor máximo de la densidad de tráfico en una vía es el que se produce cuando…","los vehículos están en fila, parados, sin huecos entre ellos."
"223","¿Cuál de las siguientes es una condición del entorno de una carretera?","La visibilidad."
"224","¿Cuál de las siguientes es una condición del entorno de una carretera?","La climatología."
"225","¿Qué finalidad tienen los elementos de seguridad activa de los vehículos?","Evitar accidentes actuando antes de que se produzcan."
"226","Algunos elementos de seguridad activa requieren…","una acción física por parte del conductor."
"227","¿Qué finalidad tienen los elementos de seguridad pasiva de los vehículos?","Disminuir los daños causados a las personas implicadas por un accidente."
"228","¿Cuándo actúan los elementos de seguridad activa?","Antes del accidente."
"229","¿Cuándo actúan los elementos de seguridad pasiva?","Durante y después del accidente."
"230","El chasis deformable es un elemento de seguridad...","pasiva."
"231","¿Cómo actúan los elementos de seguridad pasiva?","Automáticamente si se produce el suceso que inicie su funcionamiento."
"232","¿Cuál de los siguientes es un elemento de seguridad activa del vehículo?","La suspensión."
"233","¿Cuál de los siguientes es un elemento de seguridad activa del vehículo?","La dirección."
"234","¿Cuál de los siguientes es un elemento de seguridad activa del vehículo?","• Alumbrado. • Ruedas. • Suspensión. • Todas las respuestas son correctas."
"235","¿Cuál es una de las funciones del alumbrado del vehículo?","• Percepción del entorno por parte del conductor. • Facilitar la visibilidad del vehículo. • Comunicar la realización de una maniobra. • Todas las respuestas son correctas."
"236","¿Cuándo debe utilizarse el alumbrado del vehículo como regla general?","En la circulación por túneles."
"237","¿Cuándo debe utilizarse el alumbrado del vehículo como regla general?","Entre la puesta y la salida del sol."
"238","¿Cuándo debe utilizarse el alumbrado del vehículo como regla general?","En condiciones ambientales que disminuyan sensiblemente la visibilidad."
"239","¿Qué circunstancia puede provocar un desgaste prematuro del neumático?","• Velocidades elevadas. • Sobrecarga. • Frenazos bruscos. • Todas son correctas."
"240","¿Qué efecto tiene una presión del neumático superior a la recomendada?","Disminuye la estabilidad del vehículo."
"241","¿Qué efecto tiene una presión del neumático superior a la recomendada?","Perjudica la capacidad de frenado."
"242","¿Qué efecto tiene una presión del neumático inferior a la recomendada?","Incrementa en riesgo de reventón."
"243","¿Qué efecto tiene una presión del neumático inferior a la recomendada?","Acelera el desgaste de los bordes de la banda de rodadura."
"244","La suspensión es un elemento de seguridad activa del vehículo, ¿cuál es su función principal?","Controlar la estabilidad del vehículo."
"245","Un buen sistema de suspensión debe ser capaz de…","absorber eficazmente las irregularidades del asfalto."
"246","¿Cuál es un indicio de mal estado de los amortiguadores?","Inclinación excesiva del vehículo al tomar una curva."
"247","¿Cuál es un indicio de mal estado de los amortiguadores?","Excesivos bandazos del vehículo con viento lateral."
"248","¿Qué consecuencias puede tener un mal estado de la suspensión del vehículo?","Mayor tendencia al aquaplaning."
"249","¿Qué consecuencias puede tener un mal estado de la suspensión del vehículo?","Pérdida de efectividad del ABS."
"250","¿Qué consecuencias puede tener un mal estado de la suspensión del vehículo?","Incremento de la distancia de frenado."
"251","Un dispositivo de seguridad relacionado con el sistema de frenado es el ABS, ¿en qué se basa?","En la detección del bloqueo de una o varias ruedas."
"252","El sistema BAS (brake assist system) es un elemento de seguridad...","activa."
"253","El sistema PCS (pre-collision system) es un elemento de seguridad...","activa."
"254","El sistema EBS (electronic braking system) es un elemento de seguridad:","activa."
"255","El sistema EDS (electronic differential system) es un elemento de seguridad:","activa."
"256","El dispositivo de seguridad ABS, ¿qué acción lleva a cabo?","Si capta que se va a producir el bloqueo de una rueda, disminuye la fuerza de frenado sobre ella."
"257","¿En qué se basa el funcionamiento del dispositivo denominado BAS?","Según la rapidez o la fuerza con la que se actúa sobre el pedal de freno, detecta si se ha producido una frenada de emergencia."
"258","¿En qué se basa el funcionamiento del dispositivo denominado PCS?","Calcula la distancia de seguridad en función de la separación con el vehículo que circula delante."
"259","¿Con qué elemento de seguridad activa del vehículo está relacionado el EDS (electronic differential system)?","Con los frenos."
"260","¿Con qué elemento de seguridad activa del vehículo está relacionado el PCS (pre-collision system)?","Con los frenos."
"261","El dispositivo de seguridad BAS, ¿qué acción lleva a cabo?","En un frenada de emergencia, corrige la presión de frenado para evitar la colisión."
"262","El dispositivo de seguridad PCS, ¿qué acción lleva a cabo?","Calcula la distancia de seguridad y avisa al conductor si esta se reduce."
"263","El dispositivo de seguridad EBS, ¿qué acción lleva a cabo?","Sincroniza el funcionamiento del frenado en todas las ruedas."
"264","El dispositivo de seguridad EDS, ¿qué acción lleva a cabo?","Si, al arrancar, una rueda motriz patina, la frena."
"265","¿Qué se consigue con el sistema EBS (electronic braking system)?","Acortar la distancia de frenado."
"266","¿Qué se consigue con el sistema EDS (electronic differential system)?","Al arrancar en firmes deslizantes, mejorar el inicio de movimiento del vehículo."
"267","¿Cómo actúa el ABS?","Regula de modo automático la intensidad de la frenada sobre una o varias ruedas."
"268","El ESP, Electronic Stability Program, es un elemento de seguridad...","activa."
"269","El TCS, Traction Control System, es un elemento de seguridad:","activa."
"270","El ASR, Anti Slip Regulation, es un elemento de seguridad...","activa."
"271","¿Con qué elemento de seguridad activa del vehículo está relacionado el TCS, Traction Control System?","Con la dirección."
"272","¿Con qué elemento de seguridad activa del vehículo está relacionado el ASR, Anti Slip Regulation?","Con la dirección."
"273","¿En qué se basa el funcionamiento del dispositivo denominado TCS?","Compara el giro de las ruedas motrices con las que no lo son."
"274","¿En qué se basa el funcionamiento del dispositivo denominado ESP?","Reconoce el inicio de un derrape del eje delantero o trasero."
"275","¿Cómo actúa el ESP en caso de derrape del eje delantero del vehículo al tomar una curva?","Frena la rueda trasera interior a la curva."
"276","¿Cómo actúa el ESP en caso de derrape del eje trasero del vehículo al tomar una curva?","Frena la rueda delantera exterior a la curva."
"277","¿Cómo actúa el TCS?","Reduce la fuerza del motor si las ruedas motrices pierden adherencia."
"278","¿Qué es el sistema de control de tracción TCS?","Un dispositivo que evita la pérdida de tracción de las ruedas propulsoras."
"279","¿Cómo puede actuar el avisador de cambio de carril involuntario?","• Mediante avisos luminosos o acústicos. • Mediante acciones sobre el sistema de frenado. • Mediante acciones sobre el sistema de dirección. • Todas las respuestas son correctas."
"280","¿Qué función tienen los sistemas de contención de vehículos en una carretera?","Disminuir la gravedad de un accidente."
"281","En una carretera, los sistemas de contención de vehículos pueden…","proporcionar un cierto nivel de retención a un vehículo fuera de control."
"282","¿Cuál es el objetivo principal de los sistemas de contención de vehículos de una carretera?","La capacidad para impedir que un vehículo que se sale de la calzada alcance un obstáculo, desnivel o elemento de riesgo."
