"pdfNumber","pdfQuestion","similarity","packId","packQuestion","pdfAnswer","packAnswer","conflictType","conflictReason"
"170","¿Qué factor influye en el consumo de carburante?","1","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","El perfil de la carretera.","La carga transportada en el vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_9_pdf_questions"
"171","Entre otros factores, ¿de qué depende el consumo de carburante?","1","q_47b789bf","Entre otros factores, ¿de qué depende el consumo de carburante?","De la carga que lleve el vehículo.","Del número de revoluciones por minuto del motor.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"172","¿Qué factor influye en el consumo de carburante?","1","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","La aerodinámica del vehículo.","La carga transportada en el vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_9_pdf_questions"
"173","¿Qué factor influye en el consumo de carburante?","1","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","La posición del pedal del acelerador.","La carga transportada en el vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_9_pdf_questions"
"174","Entre otros factores, ¿de qué depende el consumo de carburante?","1","q_47b789bf","Entre otros factores, ¿de qué depende el consumo de carburante?","De un adecuado mantenimiento del vehículo.","Del número de revoluciones por minuto del motor.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"175","¿Qué factor influye en el consumo de carburante?","1","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","Una correcta presión de inflado de los neumáticos.","La carga transportada en el vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_9_pdf_questions"
"176","¿Qué factor influye en el consumo de carburante?","1","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","Un adecuado mantenimiento del vehículo.","La carga transportada en el vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_9_pdf_questions"
"177","Entre otros factores, ¿de qué depende el consumo de carburante?","1","q_47b789bf","Entre otros factores, ¿de qué depende el consumo de carburante?","De la posición del pedal del acelerador.","Del número de revoluciones por minuto del motor.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"178","¿Qué factor influye en el consumo de carburante?","1","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","La aerodinámica del vehículo.","La carga transportada en el vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_9_pdf_questions"
"179","¿Qué factor influye en el consumo de carburante?","1","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","El perfil de la carretera.","La carga transportada en el vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_9_pdf_questions"
"180","¿Qué factor influye en el consumo de carburante?","1","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","La presión de inflado de los neumáticos.","La carga transportada en el vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_9_pdf_questions"
"181","¿Qué factor no influye en el consumo de carburante de un automóvil?","1","q_9c489841","¿Qué factor no influye en el consumo de carburante de un automóvil?","El tipo de neumático: con o sin cámara.","El octanaje del gasóleo.","WRONG_MATCH_VARIANT","packId_shared_by_8_pdf_questions"
"182","En el consumo de carburante de un automóvil no influye:","1","q_554d217d","En el consumo de carburante de un automóvil no influye:","el béndix.","la situación de las ruedas motrices.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"183","¿Qué factor no tiene influencia en el consumo de carburante?","1","q_2e06ad4a","¿Qué factor no tiene influencia en el consumo de carburante?","El motor de arranque.","Los elementos de seguridad pasiva que monte el vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"184","¿Qué factor no influye en el consumo de carburante de un automóvil?","1","q_9c489841","¿Qué factor no influye en el consumo de carburante de un automóvil?","La longitud del cigüeñal.","El octanaje del gasóleo.","WRONG_MATCH_VARIANT","packId_shared_by_8_pdf_questions"
"185","¿Qué factor no influye en el consumo de carburante de un automóvil?","1","q_9c489841","¿Qué factor no influye en el consumo de carburante de un automóvil?","La longitud del árbol de levas.","El octanaje del gasóleo.","WRONG_MATCH_VARIANT","packId_shared_by_8_pdf_questions"
"186","En el consumo de carburante de un automóvil no influye:","1","q_554d217d","En el consumo de carburante de un automóvil no influye:","la longitud del pistón.","la situación de las ruedas motrices.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"187","¿Qué factor no tiene influencia en el consumo de carburante?","1","q_2e06ad4a","¿Qué factor no tiene influencia en el consumo de carburante?","El voltaje que suministre la batería.","Los elementos de seguridad pasiva que monte el vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"188","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","1","q_704a02e6","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","del perfil de la carretera y la presión de los neumáticos.","de la relación de marchas seleccionada en la caja de velocidades y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","WRONG_MATCH_VARIANT","packId_shared_by_10_pdf_questions"
"189","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","1","q_7dab53ba","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","de la presión de los neumáticos y la posición del pedal del acelerador.","del mantenimiento que se realice al vehículo, el perfil de la carretera y la presión de los neumáticos.","WRONG_MATCH_VARIANT","packId_shared_by_5_pdf_questions"
"190","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","1","q_0da980f4","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","el perfil de la carretera y la posición del pedal del acelerador.","el mantenimiento que se realice al vehículo, el perfil de la carretera y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","WRONG_MATCH_VARIANT","packId_shared_by_6_pdf_questions"
"191","¿Qué influye en el consumo de carburante de un vehículo pesado?","1","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","El número de revoluciones por minuto del motor y el perfil de la carretera.","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","WRONG_MATCH_VARIANT","packId_shared_by_12_pdf_questions"
"192","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","1","q_704a02e6","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","del número de revoluciones por minuto del motor y la posición del pedal del acelerador.","de la relación de marchas seleccionada en la caja de velocidades y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","WRONG_MATCH_VARIANT","packId_shared_by_10_pdf_questions"
"194","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","1","q_0da980f4","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","el número de revoluciones por minuto del motor y el mantenimiento del vehículo.","el mantenimiento que se realice al vehículo, el perfil de la carretera y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","WRONG_MATCH_VARIANT","packId_shared_by_6_pdf_questions"
"196","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","1","q_704a02e6","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","del mantenimiento del vehículo y las revoluciones por minuto del motor.","de la relación de marchas seleccionada en la caja de velocidades y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","WRONG_MATCH_VARIANT","packId_shared_by_10_pdf_questions"
"198","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","1","q_0da980f4","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","el mantenimiento del vehículo y el perfil de la carretera.","el mantenimiento que se realice al vehículo, el perfil de la carretera y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","WRONG_MATCH_VARIANT","packId_shared_by_6_pdf_questions"
"199","¿Qué influye en el consumo de carburante de un vehículo pesado?","1","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","La relación de marchas seleccionada en la caja de cambios y el perfil de la carretera.","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","WRONG_MATCH_VARIANT","packId_shared_by_12_pdf_questions"
"201","El consumo de carburante de un automóvil puede ser mayor de lo normal dependiendo:","1","q_4c943c31","El consumo de carburante de un automóvil puede ser mayor de lo normal dependiendo:","de la relación de marchas seleccionada en la caja de velocidades y la posición del pedal del acelerador.","del número de revoluciones por minuto del motor y la presión de los neumáticos.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"202","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","1","q_0da980f4","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","la relación de marchas seleccionada en la caja de velocidades y las revoluciones por minuto del motor.","el mantenimiento que se realice al vehículo, el perfil de la carretera y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","WRONG_MATCH_VARIANT","packId_shared_by_6_pdf_questions"
"204","¿Qué influye en el consumo de carburante de un vehículo pesado?","1","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","El perfil de la carretera y el tipo de conducción que realice el conductor.","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","WRONG_MATCH_VARIANT","packId_shared_by_12_pdf_questions"
"205","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","1","q_704a02e6","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","del tipo de conducción que realice el conductor y el mantenimiento del vehículo.","de la relación de marchas seleccionada en la caja de velocidades y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","WRONG_MATCH_VARIANT","packId_shared_by_10_pdf_questions"
"206","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","1","q_7dab53ba","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","del tipo de conducción que realice el conductor y de la presión de los neumáticos.","del mantenimiento que se realice al vehículo, el perfil de la carretera y la presión de los neumáticos.","WRONG_MATCH_VARIANT","packId_shared_by_5_pdf_questions"
"207","El consumo de carburante de un automóvil puede ser mayor de lo normal dependiendo:","1","q_4c943c31","El consumo de carburante de un automóvil puede ser mayor de lo normal dependiendo:","del tipo de conducción que realice el conductor y de las revoluciones por minuto del motor.","del número de revoluciones por minuto del motor y la presión de los neumáticos.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"208","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","1","q_704a02e6","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","de la aerodinámica y el perfil de la carretera.","de la relación de marchas seleccionada en la caja de velocidades y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","WRONG_MATCH_VARIANT","packId_shared_by_10_pdf_questions"
"209","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","1","q_7dab53ba","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","de la aerodinámica y el mantenimiento del vehículo.","del mantenimiento que se realice al vehículo, el perfil de la carretera y la presión de los neumáticos.","WRONG_MATCH_VARIANT","packId_shared_by_5_pdf_questions"
"210","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","1","q_0da980f4","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","la aerodinámica y la presión de los neumáticos.","el mantenimiento que se realice al vehículo, el perfil de la carretera y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","WRONG_MATCH_VARIANT","packId_shared_by_6_pdf_questions"
"211","¿Qué influye en el consumo de carburante de un vehículo pesado?","1","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","La aerodinámica y la posición del pedal del acelerador.","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","WRONG_MATCH_VARIANT","packId_shared_by_12_pdf_questions"
"212","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","1","q_704a02e6","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","de la aerodinámica y el tipo de conducción que realice el conductor.","de la relación de marchas seleccionada en la caja de velocidades y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","WRONG_MATCH_VARIANT","packId_shared_by_10_pdf_questions"
"213","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","1","q_7dab53ba","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","de la aerodinámica y el número de revoluciones del motor.","del mantenimiento que se realice al vehículo, el perfil de la carretera y la presión de los neumáticos.","WRONG_MATCH_VARIANT","packId_shared_by_5_pdf_questions"
"214","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","1","q_0da980f4","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","la aerodinámica.","el mantenimiento que se realice al vehículo, el perfil de la carretera y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","WRONG_MATCH_VARIANT","packId_shared_by_6_pdf_questions"
"215","¿Qué influye en el consumo de carburante de un vehículo pesado?","1","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","El estado en el que se encuentre el filtro del aire del sistema de alimentación.","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","WRONG_MATCH_VARIANT","packId_shared_by_12_pdf_questions"
"216","¿Qué influye en el consumo de carburante de un vehículo pesado?","1","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","El coeficiente de rozamiento de los neumáticos con calzada.","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","WRONG_MATCH_VARIANT","packId_shared_by_12_pdf_questions"
"218","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","1","q_7dab53ba","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","del tipo de conducción que realice el conductor y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","del mantenimiento que se realice al vehículo, el perfil de la carretera y la presión de los neumáticos.","WRONG_MATCH_VARIANT","packId_shared_by_5_pdf_questions"
"220","¿Qué influye en el consumo de carburante de un vehículo pesado?","1","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","La aerodinámica del vehículo y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","WRONG_MATCH_VARIANT","packId_shared_by_12_pdf_questions"
"221","¿Qué afecta al consumo de carburante de un automóvil?","1","q_7aa17e0f","¿Qué afecta al consumo de carburante de un automóvil?","Las revoluciones por minuto del motor.","El mantenimiento del vehículo, las revoluciones por minuto del motor y la aerodinámica del vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_3_pdf_questions"
"222","Entre los factores que afectan al consumo de carburante de un automóvil se encuentra:","1","q_55b69eeb","Entre los factores que afectan al consumo de carburante de un automóvil se encuentra:","el estado en el que se encuentre el filtro del aire del sistema de alimentación.","el mantenimiento del vehículo, las revoluciones por minuto del motor y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","WRONG_MATCH_VARIANT","packId_shared_by_3_pdf_questions"
"223","Entre los factores que afectan al consumo de carburante de un automóvil con motor de combustión se encuentra:","1","q_57ec0ce2","Entre los factores que afectan al consumo de carburante de un automóvil con motor de combustión se encuentra:","la relación de marchas seleccionada en la caja de velocidades.","el mantenimiento del vehículo, la relación de marchas seleccionada en la caja de velocidades y la aerodinámica del vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"224","Entre los factores que afectan al consumo de carburante de un automóvil se encuentra:","1","q_55b69eeb","Entre los factores que afectan al consumo de carburante de un automóvil se encuentra:","el mantenimiento del vehículo.","el mantenimiento del vehículo, las revoluciones por minuto del motor y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","WRONG_MATCH_VARIANT","packId_shared_by_3_pdf_questions"
"225","Entre los factores que afectan al consumo de carburante de un automóvil se encuentra:","1","q_55b69eeb","Entre los factores que afectan al consumo de carburante de un automóvil se encuentra:","el estado en el que se encuentre el filtro del aire.","el mantenimiento del vehículo, las revoluciones por minuto del motor y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","WRONG_MATCH_VARIANT","packId_shared_by_3_pdf_questions"
"226","Entre los factores que afectan al consumo de carburante de un automóvil con motor de combustión se encuentra:","1","q_57ec0ce2","Entre los factores que afectan al consumo de carburante de un automóvil con motor de combustión se encuentra:","la posición del pedal del acelerador.","el mantenimiento del vehículo, la relación de marchas seleccionada en la caja de velocidades y la aerodinámica del vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"227","El consumo de carburante de un automóvil se ve afectado por varios factores, entre ellos se encuentra:","1","q_871b833b","El consumo de carburante de un automóvil se ve afectado por varios factores, entre ellos se encuentra:","la presión de inflado de los neumáticos.","el perfil de la carretera, la presión de inflado de los neumáticos y el tipo de conducción que realice el conductor.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"228","El consumo de carburante de un automóvil se ve afectado por varios factores, entre ellos se encuentra:","1","q_871b833b","El consumo de carburante de un automóvil se ve afectado por varios factores, entre ellos se encuentra:","el perfil de la carretera.","el perfil de la carretera, la presión de inflado de los neumáticos y el tipo de conducción que realice el conductor.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"241","Para reducir el consumo de carburante de un vehículo pesado se deben conocer los factores que influyen en él. Entre estos factores se encuentra:","1","q_bd745390","Para reducir el consumo de carburante de un vehículo pesado se deben conocer los factores que influyen en él. Entre estos factores se encuentra:","el perfil de la carretera, el número de revoluciones del motor y la relación de marchas seleccionada en la caja de velocidades.","el perfil de la carretera, el tipo de conducción que realice el conductor y el número de revoluciones del motor.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.46"
"243","Para reducir el número de revoluciones por minuto del motor de combustión de un automóvil y, con ello, reducir el consumo de carburante, el conductor puede:","1","q_2a3ae91f","Para reducir el número de revoluciones por minuto del motor de combustión de un automóvil y, con ello, reducir el consumo de carburante, el conductor puede:","evitar, en lo posible, la utilización de relaciones de marchas cortas.","utilizar relaciones de marchas largas.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.49"
"247","El conductor de un vehículo pesado puede hacer que el motor gire a menos revoluciones por minuto y, con ello, disminuir el consumo de carburante:","1","q_e40235f1","El conductor de un vehículo pesado puede hacer que el motor gire a menos revoluciones por minuto y, con ello, disminuir el consumo de carburante:","reduciendo la velocidad a la que se circule.","utilizando la relación de marchas más alta que sea posible en función de la velocida","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.36"
"249","¿Cuál es una buena medida para no aumentar el consumo de carburante al conducir un automóvil?","1","q_517e2d98","¿Cuál es una buena medida para no aumentar el consumo de carburante al conducir un automóvil?","Reducir la velocidad media a la que se circule.","Mantener el filtro del aire limpio y sustituirlo siguiendo las recomendaciones del fabricante del vehículo.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.26"
"259","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","1","q_df4189f3","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, controlando frecuentemente la presión de inflado de los neumáticos, ajustándola a la recomendada por el fabricante, con el neumático frío.","Sí, por ejemplo, realizando el mantenimiento aconsejado por el fabricante del vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_7_pdf_questions"
"260","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","1","q_df4189f3","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, regulando la presión que se realiza sobre el pedal del acelerador.","Sí, por ejemplo, realizando el mantenimiento aconsejado por el fabricante del vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_7_pdf_questions"
"261","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","1","q_df4189f3","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, realizando una conducción económica.","Sí, por ejemplo, realizando el mantenimiento aconsejado por el fabricante del vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_7_pdf_questions"
"263","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","1","q_df4189f3","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, reduciendo la velocidad media a la que se circule.","Sí, por ejemplo, realizando el mantenimiento aconsejado por el fabricante del vehículo.","WRONG_MATCH_VARIANT","packId_shared_by_7_pdf_questions"
"266","¿Qué ventajas presenta conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule?","1","q_0bc7d451","¿Qué ventajas presenta conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule?","Menor consumo y nivel de ruidos.","Menor consumo y contaminación ambiental.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"267","¿Qué ventajas presenta conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule?","1","q_0bc7d451","¿Qué ventajas presenta conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule?","Menor consumo y desgaste mecánico.","Menor consumo y contaminación ambiental.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"268","¿Qué ventajas presenta conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule?","1","q_0bc7d451","¿Qué ventajas presenta conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule?","Menor consumo y desgaste mecánico.","Menor consumo y contaminación ambiental.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"269","¿Qué ventajas presenta conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule?","1","q_0bc7d451","¿Qué ventajas presenta conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule?","Menor consumo.","Menor consumo y contaminación ambiental.","WRONG_MATCH_VARIANT","packId_shared_by_4_pdf_questions"
"272","Conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule, ¿qué ventajas presenta?","1","q_3326b2da","Conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule, ¿qué ventajas presenta?","Mayor seguridad en la circulación y menor consumo y contaminación ambiental.","Menor consumo, contaminación ambiental y contaminación acústica.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"273","Conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule, ¿qué ventajas presenta?","1","q_3326b2da","Conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule, ¿qué ventajas presenta?","Mayor confort en la conducción y menor consumo y contaminación ambiental.","Menor consumo, contaminación ambiental y contaminación acústica.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"278","Reducir la velocidad media de circulación, ¿qué ventajas presenta?","1","q_54ab0aed","Reducir la velocidad media de circulación, ¿qué ventajas presenta?","Mayor confort en la conducción y menor consumo y contaminación ambiental.","Menor consumo, contaminación ambiental y contaminación acústica.","NEEDS_REVIEW","q_sim=1_ans_sim=0.50"
"281","¿Qué ventajas tiene reducir la velocidad media de circulación?","1","q_b2138b10","¿Qué ventajas tiene reducir la velocidad media de circulación?","Menor contaminación acústica y ambiental, menor consumo y menor desgaste mecánico.","Mayor confort y menor consumo y contaminación acústica.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"282","¿Qué ventajas tiene reducir la velocidad media de circulación?","1","q_b2138b10","¿Qué ventajas tiene reducir la velocidad media de circulación?","Menor consumo de carburante.","Mayor confort y menor consumo y contaminación acústica.","WRONG_MATCH_VARIANT","packId_shared_by_2_pdf_questions"
"5","¿Qué elementos de seguridad de los vehículos requieren la acción física del conductor?","1","q_964bf835","¿Qué elementos de seguridad de los vehículos requieren la acción física del conductor?","Algunos elementos de seguridad activa, ya que los de seguridad pasiva actúan automáticamente.","Algunos elementos de segurida","PACK_ANSWER_TRUNCATED","pack_len=29_pdf_len=91"
"8","¿Qué es recomendable en zonas inundadas por lluvia?","1","q_02d207e9","¿Qué es recomendable en zonas inundadas por lluvia?","Al finalizar el cruce, es necesario comprobar el correcto funcionamiento de los frenos.","Pasar en quinta para que el vehículo no se detenga.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.29"
"9","¿Qué precauciones deberán tomar los conductores para evitar atropellos?","1","q_bc74b1d0","¿Qué precauciones deberán tomar los conductores para evitar atropellos?","• Moderar la velocidad en la ciudad. • Estar especialmente atento a los peatones que van hablando por el móvil. • Poner atención en la salida de los garajes. • Todas las respuestas anteriores son correctas.","Moderar la velocidad en la ciudad.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.16"
"14","Ante la previsión de condiciones meteorológicas adversas debidas a la nieve, ¿qué debemos llevar en el vehículo?","0.8257","q_3f9a7c38","Ante la previsión de condiciones meteorológicas adversas, ¿qué debemos llevar en el vehículo?","Combustible suficiente para poder contar con más tiempo de calefacción.","Poco combustible para ir más rápido.","NEEDS_REVIEW","q_sim=0.8257_ans_sim=0.30"
"27","En caso de inmovilización por una fuerte nevada hay que:","1","q_5786d4b3","En caso de inmovilización por una fuerte nevada hay que:","• aparcar dejando vía libre a las máquinas quitanieves. • disponer de combustible suficiente. • orientar las ruedas en línea recta. • Todas las respuestas anteriores son correctas.","aparcar dejando vía libre a las máquinas quitanieves.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.30"
"29","En caso de niebla intensa, ¿cuáles son las principales medidas que deben tomarse?","1","q_2f70a853","En caso de niebla intensa, ¿cuáles son las principales medidas que deben tomarse?","• Conectar el alumbrado de cruce y el antiniebla. • Reducir la velocidad y aumentar la distancia de seguridad. • Accionar el limpiaparabrisas de vez en cuando. • Todas las respuestas anteriores son verdaderas.","Todas las respuestas anteriores son verdaderas.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.22"
"36","Señale la respuesta correcta respecto a la conducción con niebla.","1","q_f9e402a3","Señale la respuesta correcta respecto a la conducción con niebla.","Conectar las luces de cruce y las de antiniebla.","Es necesario disminuir la distancia de seguridad ya que así podemos aprovechar la luz del vehículo que va delante.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.27"
"40","¿Cómo deben ser los elementos de seguridad instalados en todos los vehículos?","1","q_b60cc86a","¿Cómo deben ser los elementos de seguridad instalados en todos los vehículos?","De seguridad activa y pasiva.","De segurida","PACK_ANSWER_TRUNCATED","pack_len=11_pdf_len=28"
"60","¿En qué momento las ruedas no son capaces de desalojar el agua que se acumula delante de ellas?","1","q_d744e90e","¿En qué momento las ruedas no son capaces de desalojar el agua que se acumula delante de ellas?","Cuando la velocidad de circulación es mayor a la de evacuación de agua.","Cuando los neumáticos tienen su dibujo.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.30"
"61","¿Cómo se puede deshacer la posible escarcha acumulada en los vidrios del vehículo?","1","q_e67c951b","¿Cómo se puede deshacer la posible escarcha acumulada en los vidrios del vehículo?","Con alcohol","Con zumos naturales.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.32"
"67","¿Qué debe hacerse en el caso que se aparque el vehículo en una zona con riesgo de nevadas?","1","q_dad69252","¿Qué debe hacerse en el caso que se aparque el vehículo en una zona con riesgo de nevadas?","Levantar los limpiaparabrisas.","Utilizarse el freno de mano.","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.10"
"68","¿Por qué se tiene que lavar el vehículo cuando se ha circulado mucho sobre nieve?","1","q_c7f98b18","¿Por qué se tiene que lavar el vehículo cuando se ha circulado mucho sobre nieve?","Por el efecto corrosivo de la sal, que se utiliza en las carreteras, en la carrocería.","Por el efecto corrosivo de la nieve .","REAL_ANSWER_CONFLICT","q_sim=1_ans_sim=0.40"
