"priority","pdfNumber","packId","packCategory","question","pdfAnswer","packAnswer","similarity"
"P1_EXACT_QUESTION_WRONG_ANSWER","70","q_11eb01a9","Seguridad vial","Señale la afirmación incorrecta con relación al puesto de conducción.","El asiento debe estar lo más separado posible, aunque haya que estirarse.","El respaldo debe contar con reposacabezas.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","79","q_f94140c2","Geral","¿Cuál de las siguientes conductas no es correcta para trabajar de pie?","Es conveniente trabajar mejor sobre asfalto que sobre madera pues es más rígido.","Si hay que inclinarse, se flexionarán las rodillas.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","84","q_60790e2c","Carga y logística","El tipo de esfuerzo requerido para el manejo de la carga del vehículo influye en el nivel de riesgo. Así, es más segura la manipulación que exija:","no realizar esfuerzos.","esfuerzos escalonados.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","86","q_274927e6","Geral","¿Cómo debe ser el medio en el que se realiza la actividad laboral?","Con ausencia de ruidos.","Un espacio de trabajo amplio.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","100","q_f7527395","Salud y ergonomía","¿Cuáles son los objetivos de la Ergonomía en el ámbito laboral?","• Diseñar las máquinas pensando en la mayor seguridad y eficacia. • Configurar los puestos de trabajo de modo que permitan una postura no perjudicial. • Adaptar el entorno de trabajo a las necesidades humanas. • Todas las respuestas anteriores son correctas.","Diseñar las máquinas pensando en la mayor seguridad y eficacia.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","103","q_f33fda9a","Salud y ergonomía","¿Cuál es la ciencia fundamental por su aportación a la Ergonomía?","• Anatomía. • Fisiología humana. • Psicología. • Todas las respuestas anteriores son correctas.","Anatomía.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","107","q_4a4dd070","Salud y ergonomía","¿Con qué ciencia trabaja la Ergonomía?","• Anatomía. • Psicología. • Fisiología. • Todas las respuestas anteriores son correctas.","Anatomía.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","110","q_f3083eb4","Salud y ergonomía","¿Qué circunstancias no favorecen la aparición de molestias en la espalda de los conductores?","El buen funcionamiento del sistema de suspensión del vehículo.","Diseño defectuoso del asiento.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","126","q_8086017a","Seguridad vial","¿Qué medidas es necesario establecer para tener una visibilidad plena de la carretera?","Evitar la colocación de objetos que impidan una correcta visibilidad.","Colocar un adorno colgado del espejo retrovisor.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","132","q_63bda9e9","Mecánica y mantenimiento","¿Qué tipo de suelo es capaz de absorber y amortiguar parte del peso del cuerpo?","Moqueta.","Cemento.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","134","q_453c645c","Geral","¿Por qué no es recomendable saltar desde la cabina del vehículo al suelo para bajar?","• Perjudica la columna. • Perjudica las articulaciones de la rodilla. • Perjudica las articulaciones de los tobillos. • Todas las respuestas anteriores son correctas.","Perjudica la columna.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","4","q_0083f706","Geral","¿Qué funciones cumplen los nutrientes?","• Conseguir la energía necesaria para realizar las funciones vitales. • Formar y mantener órganos. • Regular todos los procesos que tienen lugar en nuestro organismo. • Todas las respuestas anteriores son correctas.","Conseguir la energía necesaria para realizar las funciones vitales.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","10","q_e9cc20a8","Salud y ergonomía","Al tomar medicamentos:","debemos informarnos de los efectos secundarios que pueden producir.","podemos circular normalmente, sin preocupación.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","13","q_e7fd5ae4","Salud y ergonomía","La mezcla de medicamentos y alcohol:","puede producir reacciones imprevisibles y difícilmente controlables por el conductor.","es aconsejable ya que aumenta la efectividad de los medicamentos.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","18","q_56f9c61e","Geral","Los mareos y los desvanecimientos pueden provenir de:","una mala alimentación.","dormir más de ocho horas.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","21","q_64de9322","Salud y ergonomía","El estrés, en los conductores profesionales, ¿de qué puede ser consecuencia?","• Sobrecarga de trabajo. • Ritmo de vida acelerado. • Problemas de inseguridad o de frustración profesional. • Todas las respuestas anteriores son correctas.","Sobrecarga de trabajo.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","23","q_b648f5a1","Salud y ergonomía","Señale la respuesta correcta respecto a la toma de alcohol:","Altera y disminuye las aptitudes para la conducción.","Sirve para combatir el frío.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","24","q_94b61504","Salud y ergonomía","Señale la respuesta correcta respecto a los microsueños:","• Son una reacción del organismo ante el déficit de sueño. • Hacen que durante un brevísimo espacio de tiempo se pierda la conciencia respecto a la carretera. • Son los causantes de muchos accidentes que se producen en tramos rectos con salida de la vía y no tienen una explicación clara. • Todas las respuestas anteriores son correctas.","Son una defensa del organismo por no dormir.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","26","q_2a62a7f3","Geral","Si vamos a conducir, ¿qué es recomendable?","• Comidas no muy copiosas. • Comidas fáciles de digerir. • Una dieta rica en hidratos de carbono y pescado. • Todas las respuestas anteriores son correctas.","Comidas no muy copiosas.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","27","q_beaefa47","Salud y ergonomía","Tener el vehículo mal ventilado y estar en una postura incomoda al volante, ¿qué puede provocar?","Fatiga.","Somnolencia.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","39","q_417d336a","Geral","¿Cuáles son los efectos que suele producir la heroína en la conducción?","Confusión mental.","Un fuerte shock con convulsiones y calambres, pudiendo originar actuaciones violentas.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","49","q_e28b8118","Geral","¿Qué funciones corporales aumentan de día y disminuyen de noche?","• La temperatura. • La capacidad respiratoria. • La capacidad mental. • Todas las respuestas anteriores son correctas.","La temperatura.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","61","q_468551e9","Geral","Una dosis adecuada de café o de otros estimulantes naturales, ¿qué beneficios genera?","• Alivia la fatiga. • Facilita los reflejos. • Ayuda a mantener el estado de vigilia. • Todas las respuestas anteriores son correctas.","Alivia la fatiga.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","65","q_926b8fec","Geral","¿Qué efectos pueden provocar los fármacos?","• Somnolencia. • Fatiga muscular. • Mareos. • Todas las respuestas anteriores son correctas.","Somnolencia.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","81","q_bf60501c","Salud y ergonomía","¿Qué medicamentos nos pueden producir somnolencia?","• Ansiolíticos. • Sedantes. • Hipnóticos. • Todas las respuestas anteriores son correctas.","Ansiolíticos.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","95","q_7a4ba2f9","Geral","¿Cuáles son los efectos más comunes que produce la cocaína en la conducción?","Minusvaloración de los riesgos.","Adopción de conductas peligrosas.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","101","q_977596c8","Salud y ergonomía","¿De qué depende el nivel de alcohol en sangre?","• De la rapidez de la toma. • De la tolerancia personal. • De la edad. • Todas las respuestas son correctas.","De la rapidez de la toma.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","57","q_b3a498f1","Seguridad vial","En la declaración amistosa de accidentes es imprescindible:","• hacer constar siempre la fecha y hora del accidente. • identificar el lugar del accidente mediante calle o vía y población. • anotar la matrícula de los vehículos implicados. • Todas las respuestas anteriores son correctas.","hacer constar siempre la fecha y hora del accidente.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","86","q_ac588702","Normativa de transportes","¿Qué actuaciones deben realizarse en caso de puertas bloqueadas en un vehículo de transporte de viajeros?","• El conductor indicará a los viajeros la situación de las diferentes salidas. • El conductor indicará a los viajeros la situación de los martillos rompecristales. • Las respuestas A y B son correctas.","El conductor indicará a los viajeros la situación de las diferentes salidas.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","87","q_93502fa3","Carga y logística","Ante una situación como la caída de carga sobre la vía, ¿qué actuaciones deben realizarse?","• Se deberá apartar el vehículo para evitar que, junto con la carga caída, acreciente el riego provocado. • Se deberá retirar o apartar el obstáculo. • Se deberá dejar lo más limpia posible la calzada. • Todas las respuestas anteriores son correctas.","Se deberá apartar el vehículo para evitar que, junto con la carga caída, acreciente el riego provocado.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","131","q_3dc2e4e2","Mecánica y mantenimiento","Para solucionar un incendio en una rueda con un extintor portátil de polvo, ¿qué debemos hacer?","• Atacar el incendio al comienzo del mismo. • Aplicar el extintor hasta que se apague la llama. • Extremar la precaución por la posibilidad de que reviente. • Todas las respuestas anteriores son correctas.","Tomar el incendio al comienzo del mismo.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","136","q_03d7a7ed","Mecánica y mantenimiento","Al abrir las puertas del autobús en una situación de incendio en su parte exterior, ¿qué pautas se deben seguir?","• Si el incendio es en el lado izquierdo, abrir las dos puertas. • Si el incendio es en el lado derecho, abrir solo la que esté más alejada del fuego. • Las respuestas A y C son correctas.","Si el incendio es en el lado izquierdo, abrir las dos puertas.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","141","q_3a8c925f","Seguridad vial","¿Cuál es el propósito principal de la declaración amistosa de accidentes?","Indemnizar en el menor tiempo posible a los perjudicados.","Aumentar la recaudación de impuestos.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","142","q_75d40c66","Seguridad vial","¿Qué datos deben figurar en la declaración amistosa de accidente?","• Vehículos implicados. • Conductores que intervienen. • Lugar del accidente. • Todas las respuestas anteriores son correctas.","Vehículos implicados.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","209","q_3b640446","Mecánica y mantenimiento","Según la Ley de responsabilidad civil y seguro en la circulación de vehículos a motor, la cobertura del seguro de suscripción obligatoria no alcanzará a los daños materiales ocasionados a:","los bienes de los que sea titular el propietario del vehículo causante del accidente.","las mercancías transportadas en régimen de transporte privado particular.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","216","q_85f7108f","Primeros auxilios","En caso de que haya un motorista accidentado, ¿qué no se debe hacer?","Quitarle el casco.","Moverlo en caso de peligro de atropello.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","225","q_6a7960de","Seguridad vial","¿Quién tiene la obligación legal de actuar ante un accidente de tráfico?","• Los conductores implicados en el accidente. • Los usuarios de la vía implicados en el accidente. • Los agentes de tráfico. • Todas las respuestas anteriores son correctas.","Los conductores implicados en el accidente.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","231","q_5cf726eb","Seguridad vial","¿Qué datos se deben obtener en el escenario del accidente?","• Datos de la matrícula. • Datos del permiso de circulación. • Datos de la compañía de seguros. • Todas las respuestas anteriores son correctas.","Tomar datos de la matrícula.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","232","q_a0e0bcb6","Seguridad vial","En caso de que el motor de alguno de los vehículos implicados en un accidente continúe en marcha, ¿qué se deberá hacer?","Desconectar inmediatamente el contacto.","Desconectar el vehículo sólo cuando llegue la policía.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","305","q_d064c4ab","Mecánica y mantenimiento","En el caso de que se haya producido una avería del autobús y sea necesario un trasbordo:","los pasajeros, en caso de descender del vehículo, permanecerán fuera de la calzada.","el conductor permitirá la bajada de los pasajeros mientras intenta solucionar el incidente.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","3","q_d418535e","Normativa de transportes","¿Cuál debe de ser la actuación del conductor de una empresa de transportes en las inspecciones llevadas a cabo en carretera?","• Facilitar la inspección del vehículo y sus aparatos de control. • Facilitar la inspección de la carga o pasaje transportado. • Facilitar el examen de los documentos y facturas relacionadas con el transporte. • Todas las respuestas son correctas.","Facilitar la inspección del vehículo y sus aparatos de control.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","4","q_70e07174","Geral","En relación con la atención al cliente, ¿cuál de estas afirmaciones es correcta?","Se debe evitar interrumpir.","Mientras que se atiende al cliente, se puede uno distraer.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","5","q_3a8649e2","Geral","¿Cuál de estas afirmaciones es correcta?","• Son necesarias hojas de registro en el caso de tacógrafo analógico. • Es necesario papel para impresión en el tacógrafo digital. • Las respuestas A y C son correctas.","El accidente ""in itinere"" es el ocurrido en los desplazamientos de ida y vuelta al domicilio del trabajador.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","65","q_e61828ca","Normativa de transportes","¿Cuál es una infracción que puede dar lugar a la inmovilización del vehículo en los controles de carretera?","• Falta de autorización de transporte. • Manipulación del limitador de velocidad. • Manipulación del tacógrafo. • Todas las respuestas anteriores son correctas.","Falta de tarjeta de transporte.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","123","q_2cd94761","Geral","Para controlar el espacio con el vehículo de delante, es necesario:","dejar una distancia de, al menos, 2 o 3 segundos, que dé tiempo para reaccionar.","acercarse lo suficiente como para aprovecharnos del rebufo y así hacer una conducción económica.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","126","q_7d087b8a","Geral","¿Qué hay que hacer al tratar con un cliente enojado?","• Ver más allá de las formas provocadas por el enojo. • No ponerse a la defensiva y mantener la calma. • Intentar calmar el enojo. • Todas las respuestas son correctas.","Ver más allá de las formas provocadas por el enojo.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","131","q_38ab2260","Conducción racional","De las siguientes opciones, ¿cuál no puede considerarse que sea una función del conductor de autobús?","Decidir el itinerario y el número de viajeros a transportar.","Supervisar el acceso de los pasajeros al vehículo.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","140","q_b7cd6ae5","Geral","Entre las comprobaciones en el interior del vehículo está:","el buen estado de los escalones de entrada.","que el compartimento de equipajes está despejado.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","156","q_d0f6d985","Mecánica y mantenimiento","¿Dónde se colocará el distintivo de imagen corporativa que deben llevar los autobuses adscritos a líneas de titularidad estatal?","• En cada una de las puertas delanteras. • En la ventanilla posterior de cada uno de los laterales. • Bajo la luna trasera. • Todas las respuestas son correctas.","En cada una de las puertas delanteras.","1"
"P1_EXACT_QUESTION_WRONG_ANSWER","157","q_20c51f87","Conducción racional","¿En qué parte del autobús aparecerá la expresión «Operado por:» y la identificación de la empresa que presta el servicio acompañando al distintivo de imagen corporativa de las líneas de titularidad estatal?","Bajo la luna trasera.","En las puertas delanteras.","1"
"P2_PACK_ANSWER_TRUNCATED","29","q_1165a3f6","Mecánica y mantenimiento","¿Se produce la fuerza máxima de combustión al pisar el acelerador a fondo?","No, pues, aunque se inyecte la máxima cantidad de carburante, no hay suficiente aire ni tiempo para quemarlo.","No, pues aunque se inyecte la máxima cantida","1"
"P2_PACK_ANSWER_TRUNCATED","12","q_3f2ecd67","Conducción racional","¿Qué actuación es correcta para optimizar el consumo de carburante?","Hacer un buen uso de los diferentes sistemas de freno, del motor y de la caja de velocidades, dependiendo de cada situación.","Hacer un buen uso de los diferentes sistemas de freno, únicamente.","1"
"P2_PACK_ANSWER_TRUNCATED","24","q_3be2b592","Mecánica y mantenimiento","La eficacia del ralentizador eléctrico aumenta si aumenta…","la cantidad de electricidad suministrada por la batería.","la cantida","0.9828"
"P2_PACK_ANSWER_TRUNCATED","216","q_9435604c","Mecánica y mantenimiento","Los ralentizadores evitan el fenómeno ""fading"" porque:","reducen la velocidad del vehículo sin que exista rozamiento entre las piezas del sistema de frenado de servicio.","reducen la velocida","1"
"P2_PACK_ANSWER_TRUNCATED","1","q_04374286","Mecánica y mantenimiento","¿A qué se deben principalmente las pérdidas energéticas que se producen en la transmisión?","Al rozamiento de sus elementos.","Al rozamiento.","1"
"P2_PACK_ANSWER_TRUNCATED","5","q_964bf835","Seguridad vial","¿Qué elementos de seguridad de los vehículos requieren la acción física del conductor?","Algunos elementos de seguridad activa, ya que los de seguridad pasiva actúan automáticamente.","Algunos elementos de segurida","1"
"P2_PACK_ANSWER_TRUNCATED","40","q_b60cc86a","Seguridad vial","¿Cómo deben ser los elementos de seguridad instalados en todos los vehículos?","De seguridad activa y pasiva.","De segurida","1"
"P2_PACK_ANSWER_TRUNCATED","132","q_8287704e","Normativa de transportes","Si, en un control en carretera, los agentes encargados del control detectan durante su comisión un exceso de conducción diario considerado grave, ¿qué deberán hacer?","Proceder a denunciar la correspondiente infracción y a inmovilizar el vehículo hasta que el conductor realice el descanso obligatorio.","Proceder a denunciar la correspondiente infracción.","1"
"P2_PACK_ANSWER_TRUNCATED","165","q_909304b8","Tacógrafo y tiempos","¿Qué autocar está exento de la utilización del tacógrafo?","Un autocar de la Guardia Civil para el transporte de su personal.","Un autocar de la Guardia Civil.","1"
"P2_PACK_ANSWER_TRUNCATED","364","q_e603c42b","Normativa de transportes","Según la normativa laboral española, cuando un conductor acompaña a un vehículo en un transbordador, el tiempo empleado está considerado como:","tiempo de presencia cuando se haya comunicado su duración de antemano.","tiempo de presencia.","0.8058"
"P2_PACK_ANSWER_TRUNCATED","402","q_de3b1cdf","Normativa de transportes","Un vehículo que pertenece a Correos, si no supera 7.500 kg de masa máxima autorizada y es conducido por personal de reparto, está:","exento de utilizar el tacógrafo siempre que el transporte no supere un radio de 100 km alrededor del centro de explotación de la empresa.","exento de utilizar el tacógrafo siempre que no supere un radio de 50 km.","0.9453"
"P2_PACK_ANSWER_TRUNCATED","434","q_0c3a0c5a","Documentación","¿Cuántas horas de conducción individual son necesarias efectuar en los cursos de cualificación inicial para obtener el certificado de aptitud profesional?","20 en la modalidad ordinaria y 10 en la acelerada.","20 en la modalida","1"
"P2_PACK_ANSWER_TRUNCATED","479","q_703578e6","Tacógrafo y tiempos","De los siguientes vehículos, ¿cuáles están exentos de la instalación y uso del tacógrafo?","Los vehículos con una velocidad máxima autorizada no superior a 40 km/h.","Los vehículos con una velocida","1"
"P2_PACK_ANSWER_TRUNCATED","553","q_944ee169","Tacógrafo y tiempos","Un conductor que realice un único viaje de transporte discrecional internacional de viajeros puede posponer el descanso semanal hasta 12 jornadas desde el final del período de descanso semanal normal anterior:","si después realiza dos descansos semanales normales consecutivos o bien uno normal y uno reducido que después tendrá que recuperar.","si después realiza dos descansos semanales","0.8654"
"P2_PACK_ANSWER_TRUNCATED","85","q_8cf50aa9","Normativa de transportes","¿A partir de qué nivel de alcohol en sangre se producen efectos directos en el cerebro?","0,3 gramos por litro o incluso inferiores.","0,3 gramos por litro.","0.9"
"P2_PACK_ANSWER_TRUNCATED","15","q_de2a0bf2","Seguridad vial","¿Qué es lo primero que debemos hacer en caso de accidente?","Preservar la seguridad de la zona del accidente.","Preservar la segurida","1"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","36","q_32a3b65c","Mecánica y mantenimiento","La zona de máxima eficiencia del motor, zona económica…","está especificada en el cuentarrevoluciones, generalmente de color verde.","consiste en conducir económicamente.","0.9815"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","65","q_7e027283","Mecánica y mantenimiento","¿Cuál de los siguientes elementos del vehículo forma parte del retardador hidráulico?","El estátor fijo.","El calderín.","0.9651"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","295","q_347029d1","Conducción racional","¿Cuál de estos factores afecta más al ahorro de combustible?","La elección de la relación de marchas correcta durante la circulación.","La marca del fabricante de la carrocería.","0.9831"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","6","q_a54ebeda","Normativa de transportes","¿Cómo pueden demostrar los conductores profesionales de otros países, que efectúen transportes en España, que cumplen los requisitos de formación y cualificación exigidos por la normativa?","• Con el permiso de conducción de modelo comunitario que lleve el código armonizado correspondiente inscrito en él. • Con la tarjeta de cualificación del conductor, en la que constará el código comunitario correspondiente. • Con el certificado de conductor de terceros países previsto en el Reglamento (CE) 1072/2009, si incluye el código correspondiente. • Todas las respuestas anteriores son correctas.","Con el permiso de conducción de modelo comunitario, con el código comunitario inscrito en él.","0.9733"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","45","q_eba7fa9c","Tacógrafo y tiempos","La descarga de datos de las tarjetas de tacógrafo de los conductores deberá hacerse, al menos:","cada 28 días con actividad registrada.","cada 31 días.","0.9892"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","163","q_2ee8548d","Tacógrafo y tiempos","¿Cuál de los siguientes vehículos está exento del uso de tacógrafo?","Un autocar dedicado exclusivamente a la donación de sangre.","Vehículos cuya velocidad máxima no supere los 40 km/h.","0.9848"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","260","q_c1d0f4f6","Tacógrafo y tiempos","Según la reglamentación social europea, ¿puede un conductor iniciar un descanso semanal 5 días después del fin del anterior descanso semanal?","Sí.","No, puesto que debería iniciarlo antes de concluir el sexto día.","0.9928"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","510","q_b8850097","Documentación","¿En qué plazo máximo deben superar el examen para la obtención del CAP los conductores que hayan realizado la formación inicial?","1 año.","6 meses.","0.9841"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","527","q_3978d89a","Tacógrafo y tiempos","¿Cuántos modos de funcionamiento tiene un tacógrafo digital?","Cuatro.","Cuatro: operativo, de control, de calibrado y de empresa.","0.9655"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","1","q_c3025930","Seguridad vial","¿A quién causan un perjuicio económico los accidentes laborales?","• Al trabajador. • A la empresa del trabajador. • Al conjunto de la sociedad. • Todas las respuestas anteriores son correctas.","Al trabajador.","0.9839"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","16","q_9fcb2fee","Salud y ergonomía","La fatiga y el estrés en la actividad de transporte se produce por:","• la prolongación de la jornada. • circunstancias del tráfico. • la responsabilidad añadida como consecuencia del objeto transportado. • Todas las respuestas anteriores son correctas.","la prolongación de la jornada.","0.9851"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","22","q_e036b563","Geral","Las lesiones derivadas de un sobreesfuerzo en el trabajo pueden ser producidas","por: • movimientos repetitivos. • posturas de trabajo incorrectas. • manipulación inadecuada de la carga. • Todas las respuestas anteriores son correctas.","movimientos repetitivos.","0.9512"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","35","q_a68cced2","Seguridad vial","El transporte por carretera es una actividad productiva caracterizada por el","trabajo: • a ritmos acelerados. • sometido a excesos de responsabilidad. • Las respuestas A y C son correctas.","ser un trabajo a ritmos acelerados.","0.9605"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","147","q_94c7e4a3","Seguridad vial","¿Cuáles de los siguientes tipos de accidente es frecuente que afecte a los trabajadores de empresas de transporte?","• Caída de personas a distinto nivel. • Atropellos por vehículos y maquinaria auxiliar. • Exposición continuada a vibraciones. • Todas las respuestas anteriores son correctas.","Caída de personas a distinto nivel.","0.9912"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","157","q_04471f99","Seguridad vial","¿Cuáles de los siguientes son accidentes con forma no traumática?","• Los infartos. • Los derrames cerebrales. • Las respuestas A y B son correctas.","Los infartos.","0.9692"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","282","q_4735971c","Salud y ergonomía","¿Qué son las enfermedades profesionales?","Las contraídas a consecuencia de un trabajo ejecutado en las actividades especificadas en el cuadro que, a tal efecto, se apruebe.","Las contraídas a consecuencia del trabajo.","0.9744"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","66","q_0c45de73","Geral","¿Cuál de los siguientes países no pertenece al denominado ""Espacio Schengen""?","Marruecos.","Portugal.","0.9589"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","31","q_3c6ce90f","Geral","Cuando los equipos de protección individual superen los controles estipulados, se deberá estampar sobre el producto…","el marcado CE que, en el caso de los equipos de categoría III, irá seguido del número de identificación del organismo notificado que haya participado en el procedimiento de evaluación de la conformidad.","las siglas ""CE"", que irán seguidas de un número de cuatro dígitos en el caso de los equipos de categoría III.","0.9913"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","64","q_76682f29","Salud y ergonomía","Durante viajes largos y sobre todo por la noche, ¿qué bebida no es aconsejable tomar?","Leche caliente.","Zumos.","0.9634"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","17","q_fa3e9e7a","Normativa de transportes","Según la normativa española, en las inspecciones llevadas a cabo en carretera, ¿quién tendrá la consideración de representante de la empresa en relación con la documentación relativa al transporte que existe obligación de llevar a bordo del vehículo?","El conductor.","El empresario.","0.9919"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","22","q_c491bdcb","Seguridad vial","¿En qué consiste la conducción preventiva?","En ser consciente de los riesgos y anticiparse a posibles situaciones de peligro.","El aprendizaje necesario hasta obtener el carné de conducir.","0.9512"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","49","q_d9fad63e","Normativa de transportes","¿Qué se conoce como empatía en un profesional de una empresa de transporte?","La voluntad de comprender y satisfacer las necesidades del cliente.","La demostración de la volunta","0.9865"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","53","q_886175aa","Geral","En un transporte de calidad, ¿el cuidado de qué elementos tangibles es más importante?","El de los vehículos.","El material informativo y de comunicación con los clientes.","0.9518"
"P3_NEAR_EXACT_QUESTION_WRONG_ANSWER","98","q_34cd8c5c","Conducción racional","¿Qué parte de un autobús es imprescindible que esté en buenas condiciones al ser inspeccionado?","• Los dispositivos de señalización de paradas o aviso al conductor. • El cierre seguro de las puertas. • Los escalones de entrada. • Todas las respuestas son correctas.","Las mesitas para comer en el pasillo central.","0.9688"
