"pdfNumber","pdfQuestion","pdfAnswer","packId","packQuestion","packCorrect","similarity"
"148","¿Qué influye en el consumo de carburante de un vehículo pesado?","El estado en el que se encuentre el filtro del aire.","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","1"
"149","¿Qué influye en el consumo de carburante de un vehículo pesado?","El tipo de conducción que realice el conductor.","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","1"
"150","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","del mantenimiento del vehículo, la posición del pedal del acelerador y las revoluciones por minuto del motor.","q_704a02e6","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","de la relación de marchas seleccionada en la caja de velocidades y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"151","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","del mantenimiento del vehículo, la posición del pedal del acelerador y la relación de marchas seleccionada en la caja de velocidades.","q_704a02e6","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","de la relación de marchas seleccionada en la caja de velocidades y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"152","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","del mantenimiento del vehículo, la posición del pedal del acelerador y la aerodinámica del vehículo.","q_704a02e6","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","de la relación de marchas seleccionada en la caja de velocidades y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"153","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","del mantenimiento del vehículo, la posición del pedal del acelerador y el estado en el que se encuentre el filtro del aire.","q_704a02e6","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","de la relación de marchas seleccionada en la caja de velocidades y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"165","Si se conduce un vehículo pesado y con el motor funcionando a la temperatura adecuada, se debe saber que el consumo de carburante depende, entre otros factores:","de la velocidad a la que se circule.","q_fb99ebf7","Si se conduce un vehículo pesado y con el motor funcionando a la temperatura adecuada, se debe saber que el consumo de carburante depende, entre otros factores,:","de las revoluciones por minuto del motor.","1"
"166","Conduciendo un vehículo pesado y con el motor funcionando a la temperatura adecuada, el consumo de carburante depende, entre otros factores:","de la masa del vehículo.","q_46d9040e","Conduciendo un vehículo pesado y con el motor funcionando a la temperatura adecuada, el consumo de carburante depende, entre otros factores,:","de la posición del pedal del acelerador.","1"
"167","Si se conduce un vehículo pesado y con el motor funcionando a la temperatura adecuada, se debe saber que el consumo de carburante depende, entre otros factores:","del perfil de la carretera.","q_fb99ebf7","Si se conduce un vehículo pesado y con el motor funcionando a la temperatura adecuada, se debe saber que el consumo de carburante depende, entre otros factores,:","de las revoluciones por minuto del motor.","1"
"168","Conduciendo un vehículo pesado y con el motor funcionando a la temperatura adecuada, el consumo de carburante depende, entre otros factores:","del estilo de conducción.","q_46d9040e","Conduciendo un vehículo pesado y con el motor funcionando a la temperatura adecuada, el consumo de carburante depende, entre otros factores,:","de la posición del pedal del acelerador.","1"
"169","Si se conduce un vehículo pesado y con el motor funcionando a la temperatura adecuada, se debe saber que el consumo de carburante depende, entre otros factores:","de un correcto mantenimiento del vehículo.","q_fb99ebf7","Si se conduce un vehículo pesado y con el motor funcionando a la temperatura adecuada, se debe saber que el consumo de carburante depende, entre otros factores,:","de las revoluciones por minuto del motor.","1"
"170","¿Qué factor influye en el consumo de carburante?","El perfil de la carretera.","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","La carga transportada en el vehículo.","1"
"171","Entre otros factores, ¿de qué depende el consumo de carburante?","De la carga que lleve el vehículo.","q_47b789bf","Entre otros factores, ¿de qué depende el consumo de carburante?","Del número de revoluciones por minuto del motor.","1"
"172","¿Qué factor influye en el consumo de carburante?","La aerodinámica del vehículo.","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","La carga transportada en el vehículo.","1"
"173","¿Qué factor influye en el consumo de carburante?","La posición del pedal del acelerador.","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","La carga transportada en el vehículo.","1"
"174","Entre otros factores, ¿de qué depende el consumo de carburante?","De un adecuado mantenimiento del vehículo.","q_47b789bf","Entre otros factores, ¿de qué depende el consumo de carburante?","Del número de revoluciones por minuto del motor.","1"
"175","¿Qué factor influye en el consumo de carburante?","Una correcta presión de inflado de los neumáticos.","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","La carga transportada en el vehículo.","1"
"176","¿Qué factor influye en el consumo de carburante?","Un adecuado mantenimiento del vehículo.","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","La carga transportada en el vehículo.","1"
"177","Entre otros factores, ¿de qué depende el consumo de carburante?","De la posición del pedal del acelerador.","q_47b789bf","Entre otros factores, ¿de qué depende el consumo de carburante?","Del número de revoluciones por minuto del motor.","1"
"178","¿Qué factor influye en el consumo de carburante?","La aerodinámica del vehículo.","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","La carga transportada en el vehículo.","1"
"179","¿Qué factor influye en el consumo de carburante?","El perfil de la carretera.","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","La carga transportada en el vehículo.","1"
"180","¿Qué factor influye en el consumo de carburante?","La presión de inflado de los neumáticos.","q_37f1fd25","¿Qué factor influye en el consumo de carburante?","La carga transportada en el vehículo.","1"
"181","¿Qué factor no influye en el consumo de carburante de un automóvil?","El tipo de neumático: con o sin cámara.","q_9c489841","¿Qué factor no influye en el consumo de carburante de un automóvil?","El octanaje del gasóleo.","1"
"182","En el consumo de carburante de un automóvil no influye:","el béndix.","q_554d217d","En el consumo de carburante de un automóvil no influye:","la situación de las ruedas motrices.","1"
"183","¿Qué factor no tiene influencia en el consumo de carburante?","El motor de arranque.","q_2e06ad4a","¿Qué factor no tiene influencia en el consumo de carburante?","Los elementos de seguridad pasiva que monte el vehículo.","1"
"184","¿Qué factor no influye en el consumo de carburante de un automóvil?","La longitud del cigüeñal.","q_9c489841","¿Qué factor no influye en el consumo de carburante de un automóvil?","El octanaje del gasóleo.","1"
"185","¿Qué factor no influye en el consumo de carburante de un automóvil?","La longitud del árbol de levas.","q_9c489841","¿Qué factor no influye en el consumo de carburante de un automóvil?","El octanaje del gasóleo.","1"
"186","En el consumo de carburante de un automóvil no influye:","la longitud del pistón.","q_554d217d","En el consumo de carburante de un automóvil no influye:","la situación de las ruedas motrices.","1"
"187","¿Qué factor no tiene influencia en el consumo de carburante?","El voltaje que suministre la batería.","q_2e06ad4a","¿Qué factor no tiene influencia en el consumo de carburante?","Los elementos de seguridad pasiva que monte el vehículo.","1"
"188","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","del perfil de la carretera y la presión de los neumáticos.","q_704a02e6","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","de la relación de marchas seleccionada en la caja de velocidades y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"189","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","de la presión de los neumáticos y la posición del pedal del acelerador.","q_7dab53ba","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","del mantenimiento que se realice al vehículo, el perfil de la carretera y la presión de los neumáticos.","1"
"190","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","el perfil de la carretera y la posición del pedal del acelerador.","q_0da980f4","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","el mantenimiento que se realice al vehículo, el perfil de la carretera y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"191","¿Qué influye en el consumo de carburante de un vehículo pesado?","El número de revoluciones por minuto del motor y el perfil de la carretera.","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","1"
"192","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","del número de revoluciones por minuto del motor y la posición del pedal del acelerador.","q_704a02e6","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","de la relación de marchas seleccionada en la caja de velocidades y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"194","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","el número de revoluciones por minuto del motor y el mantenimiento del vehículo.","q_0da980f4","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","el mantenimiento que se realice al vehículo, el perfil de la carretera y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"196","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","del mantenimiento del vehículo y las revoluciones por minuto del motor.","q_704a02e6","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","de la relación de marchas seleccionada en la caja de velocidades y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"198","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","el mantenimiento del vehículo y el perfil de la carretera.","q_0da980f4","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","el mantenimiento que se realice al vehículo, el perfil de la carretera y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"199","¿Qué influye en el consumo de carburante de un vehículo pesado?","La relación de marchas seleccionada en la caja de cambios y el perfil de la carretera.","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","1"
"201","El consumo de carburante de un automóvil puede ser mayor de lo normal dependiendo:","de la relación de marchas seleccionada en la caja de velocidades y la posición del pedal del acelerador.","q_4c943c31","El consumo de carburante de un automóvil puede ser mayor de lo normal dependiendo:","del número de revoluciones por minuto del motor y la presión de los neumáticos.","1"
"202","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","la relación de marchas seleccionada en la caja de velocidades y las revoluciones por minuto del motor.","q_0da980f4","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","el mantenimiento que se realice al vehículo, el perfil de la carretera y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"204","¿Qué influye en el consumo de carburante de un vehículo pesado?","El perfil de la carretera y el tipo de conducción que realice el conductor.","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","1"
"205","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","del tipo de conducción que realice el conductor y el mantenimiento del vehículo.","q_704a02e6","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","de la relación de marchas seleccionada en la caja de velocidades y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"206","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","del tipo de conducción que realice el conductor y de la presión de los neumáticos.","q_7dab53ba","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","del mantenimiento que se realice al vehículo, el perfil de la carretera y la presión de los neumáticos.","1"
"207","El consumo de carburante de un automóvil puede ser mayor de lo normal dependiendo:","del tipo de conducción que realice el conductor y de las revoluciones por minuto del motor.","q_4c943c31","El consumo de carburante de un automóvil puede ser mayor de lo normal dependiendo:","del número de revoluciones por minuto del motor y la presión de los neumáticos.","1"
"208","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","de la aerodinámica y el perfil de la carretera.","q_704a02e6","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","de la relación de marchas seleccionada en la caja de velocidades y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"209","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","de la aerodinámica y el mantenimiento del vehículo.","q_7dab53ba","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","del mantenimiento que se realice al vehículo, el perfil de la carretera y la presión de los neumáticos.","1"
"210","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","la aerodinámica y la presión de los neumáticos.","q_0da980f4","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","el mantenimiento que se realice al vehículo, el perfil de la carretera y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"211","¿Qué influye en el consumo de carburante de un vehículo pesado?","La aerodinámica y la posición del pedal del acelerador.","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","1"
"212","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","de la aerodinámica y el tipo de conducción que realice el conductor.","q_704a02e6","El mayor o menor consumo de carburante de un vehículo pesado depende de varios factores, entre otros:","de la relación de marchas seleccionada en la caja de velocidades y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"213","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","de la aerodinámica y el número de revoluciones del motor.","q_7dab53ba","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","del mantenimiento que se realice al vehículo, el perfil de la carretera y la presión de los neumáticos.","1"
"214","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","la aerodinámica.","q_0da980f4","Entre los factores que influyen en el consumo de carburante de un vehículo pesado se encuentra:","el mantenimiento que se realice al vehículo, el perfil de la carretera y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"215","¿Qué influye en el consumo de carburante de un vehículo pesado?","El estado en el que se encuentre el filtro del aire del sistema de alimentación.","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","1"
"216","¿Qué influye en el consumo de carburante de un vehículo pesado?","El coeficiente de rozamiento de los neumáticos con calzada.","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","1"
"218","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","del tipo de conducción que realice el conductor y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","q_7dab53ba","El consumo de carburante de un vehículo pesado puede ser mayor de lo normal dependiendo:","del mantenimiento que se realice al vehículo, el perfil de la carretera y la presión de los neumáticos.","1"
"220","¿Qué influye en el consumo de carburante de un vehículo pesado?","La aerodinámica del vehículo y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","q_473ed3e9","¿Qué influye en el consumo de carburante de un vehículo pesado?","El mantenimiento del vehículo, la presión de los neumáticos y las revoluciones por minuto del motor.","1"
"221","¿Qué afecta al consumo de carburante de un automóvil?","Las revoluciones por minuto del motor.","q_7aa17e0f","¿Qué afecta al consumo de carburante de un automóvil?","El mantenimiento del vehículo, las revoluciones por minuto del motor y la aerodinámica del vehículo.","1"
"222","Entre los factores que afectan al consumo de carburante de un automóvil se encuentra:","el estado en el que se encuentre el filtro del aire del sistema de alimentación.","q_55b69eeb","Entre los factores que afectan al consumo de carburante de un automóvil se encuentra:","el mantenimiento del vehículo, las revoluciones por minuto del motor y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"223","Entre los factores que afectan al consumo de carburante de un automóvil con motor de combustión se encuentra:","la relación de marchas seleccionada en la caja de velocidades.","q_57ec0ce2","Entre los factores que afectan al consumo de carburante de un automóvil con motor de combustión se encuentra:","el mantenimiento del vehículo, la relación de marchas seleccionada en la caja de velocidades y la aerodinámica del vehículo.","1"
"224","Entre los factores que afectan al consumo de carburante de un automóvil se encuentra:","el mantenimiento del vehículo.","q_55b69eeb","Entre los factores que afectan al consumo de carburante de un automóvil se encuentra:","el mantenimiento del vehículo, las revoluciones por minuto del motor y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"225","Entre los factores que afectan al consumo de carburante de un automóvil se encuentra:","el estado en el que se encuentre el filtro del aire.","q_55b69eeb","Entre los factores que afectan al consumo de carburante de un automóvil se encuentra:","el mantenimiento del vehículo, las revoluciones por minuto del motor y el estado en el que se encuentre el filtro del aire del sistema de alimentación.","1"
"226","Entre los factores que afectan al consumo de carburante de un automóvil con motor de combustión se encuentra:","la posición del pedal del acelerador.","q_57ec0ce2","Entre los factores que afectan al consumo de carburante de un automóvil con motor de combustión se encuentra:","el mantenimiento del vehículo, la relación de marchas seleccionada en la caja de velocidades y la aerodinámica del vehículo.","1"
"227","El consumo de carburante de un automóvil se ve afectado por varios factores, entre ellos se encuentra:","la presión de inflado de los neumáticos.","q_871b833b","El consumo de carburante de un automóvil se ve afectado por varios factores, entre ellos se encuentra:","el perfil de la carretera, la presión de inflado de los neumáticos y el tipo de conducción que realice el conductor.","1"
"228","El consumo de carburante de un automóvil se ve afectado por varios factores, entre ellos se encuentra:","el perfil de la carretera.","q_871b833b","El consumo de carburante de un automóvil se ve afectado por varios factores, entre ellos se encuentra:","el perfil de la carretera, la presión de inflado de los neumáticos y el tipo de conducción que realice el conductor.","1"
"241","Para reducir el consumo de carburante de un vehículo pesado se deben conocer los factores que influyen en él. Entre estos factores se encuentra:","el perfil de la carretera, el número de revoluciones del motor y la relación de marchas seleccionada en la caja de velocidades.","q_bd745390","Para reducir el consumo de carburante de un vehículo pesado se deben conocer los factores que influyen en él. Entre estos factores se encuentra:","el perfil de la carretera, el tipo de conducción que realice el conductor y el número de revoluciones del motor.","1"
"243","Para reducir el número de revoluciones por minuto del motor de combustión de un automóvil y, con ello, reducir el consumo de carburante, el conductor puede:","evitar, en lo posible, la utilización de relaciones de marchas cortas.","q_2a3ae91f","Para reducir el número de revoluciones por minuto del motor de combustión de un automóvil y, con ello, reducir el consumo de carburante, el conductor puede:","utilizar relaciones de marchas largas.","1"
"247","El conductor de un vehículo pesado puede hacer que el motor gire a menos revoluciones por minuto y, con ello, disminuir el consumo de carburante:","reduciendo la velocidad a la que se circule.","q_e40235f1","El conductor de un vehículo pesado puede hacer que el motor gire a menos revoluciones por minuto y, con ello, disminuir el consumo de carburante:","utilizando la relación de marchas más alta que sea posible en función de la velocida","1"
"249","¿Cuál es una buena medida para no aumentar el consumo de carburante al conducir un automóvil?","Reducir la velocidad media a la que se circule.","q_517e2d98","¿Cuál es una buena medida para no aumentar el consumo de carburante al conducir un automóvil?","Mantener el filtro del aire limpio y sustituirlo siguiendo las recomendaciones del fabricante del vehículo.","1"
"259","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, controlando frecuentemente la presión de inflado de los neumáticos, ajustándola a la recomendada por el fabricante, con el neumático frío.","q_df4189f3","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, realizando el mantenimiento aconsejado por el fabricante del vehículo.","1"
"260","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, regulando la presión que se realiza sobre el pedal del acelerador.","q_df4189f3","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, realizando el mantenimiento aconsejado por el fabricante del vehículo.","1"
"261","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, realizando una conducción económica.","q_df4189f3","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, realizando el mantenimiento aconsejado por el fabricante del vehículo.","1"
"263","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, reduciendo la velocidad media a la que se circule.","q_df4189f3","El conductor de un vehículo pesado, ¿tiene la posibilidad de reducir el consumo de carburante de su vehículo?","Sí, por ejemplo, realizando el mantenimiento aconsejado por el fabricante del vehículo.","1"
"266","¿Qué ventajas presenta conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule?","Menor consumo y nivel de ruidos.","q_0bc7d451","¿Qué ventajas presenta conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule?","Menor consumo y contaminación ambiental.","1"
"267","¿Qué ventajas presenta conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule?","Menor consumo y desgaste mecánico.","q_0bc7d451","¿Qué ventajas presenta conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule?","Menor consumo y contaminación ambiental.","1"
"268","¿Qué ventajas presenta conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule?","Menor consumo y desgaste mecánico.","q_0bc7d451","¿Qué ventajas presenta conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule?","Menor consumo y contaminación ambiental.","1"
"269","¿Qué ventajas presenta conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule?","Menor consumo.","q_0bc7d451","¿Qué ventajas presenta conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule?","Menor consumo y contaminación ambiental.","1"
"272","Conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule, ¿qué ventajas presenta?","Mayor seguridad en la circulación y menor consumo y contaminación ambiental.","q_3326b2da","Conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule, ¿qué ventajas presenta?","Menor consumo, contaminación ambiental y contaminación acústica.","1"
"273","Conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule, ¿qué ventajas presenta?","Mayor confort en la conducción y menor consumo y contaminación ambiental.","q_3326b2da","Conducir utilizando la relación de marchas más alta que sea posible dependiendo de la velocidad a la que se circule, ¿qué ventajas presenta?","Menor consumo, contaminación ambiental y contaminación acústica.","1"
"278","Reducir la velocidad media de circulación, ¿qué ventajas presenta?","Mayor confort en la conducción y menor consumo y contaminación ambiental.","q_54ab0aed","Reducir la velocidad media de circulación, ¿qué ventajas presenta?","Menor consumo, contaminación ambiental y contaminación acústica.","1"
"281","¿Qué ventajas tiene reducir la velocidad media de circulación?","Menor contaminación acústica y ambiental, menor consumo y menor desgaste mecánico.","q_b2138b10","¿Qué ventajas tiene reducir la velocidad media de circulación?","Mayor confort y menor consumo y contaminación acústica.","1"
"282","¿Qué ventajas tiene reducir la velocidad media de circulación?","Menor consumo de carburante.","q_b2138b10","¿Qué ventajas tiene reducir la velocidad media de circulación?","Mayor confort y menor consumo y contaminación acústica.","1"
"5","¿Qué elementos de seguridad de los vehículos requieren la acción física del conductor?","Algunos elementos de seguridad activa, ya que los de seguridad pasiva actúan automáticamente.","q_964bf835","¿Qué elementos de seguridad de los vehículos requieren la acción física del conductor?","Algunos elementos de segurida","1"
"8","¿Qué es recomendable en zonas inundadas por lluvia?","Al finalizar el cruce, es necesario comprobar el correcto funcionamiento de los frenos.","q_02d207e9","¿Qué es recomendable en zonas inundadas por lluvia?","Pasar en quinta para que el vehículo no se detenga.","1"
"9","¿Qué precauciones deberán tomar los conductores para evitar atropellos?","• Moderar la velocidad en la ciudad. • Estar especialmente atento a los peatones que van hablando por el móvil. • Poner atención en la salida de los garajes. • Todas las respuestas anteriores son correctas.","q_bc74b1d0","¿Qué precauciones deberán tomar los conductores para evitar atropellos?","Moderar la velocidad en la ciudad.","1"
"14","Ante la previsión de condiciones meteorológicas adversas debidas a la nieve, ¿qué debemos llevar en el vehículo?","Combustible suficiente para poder contar con más tiempo de calefacción.","q_3f9a7c38","Ante la previsión de condiciones meteorológicas adversas, ¿qué debemos llevar en el vehículo?","Poco combustible para ir más rápido.","0.8257"
"27","En caso de inmovilización por una fuerte nevada hay que:","• aparcar dejando vía libre a las máquinas quitanieves. • disponer de combustible suficiente. • orientar las ruedas en línea recta. • Todas las respuestas anteriores son correctas.","q_5786d4b3","En caso de inmovilización por una fuerte nevada hay que:","aparcar dejando vía libre a las máquinas quitanieves.","1"
"29","En caso de niebla intensa, ¿cuáles son las principales medidas que deben tomarse?","• Conectar el alumbrado de cruce y el antiniebla. • Reducir la velocidad y aumentar la distancia de seguridad. • Accionar el limpiaparabrisas de vez en cuando. • Todas las respuestas anteriores son verdaderas.","q_2f70a853","En caso de niebla intensa, ¿cuáles son las principales medidas que deben tomarse?","Todas las respuestas anteriores son verdaderas.","1"
"36","Señale la respuesta correcta respecto a la conducción con niebla.","Conectar las luces de cruce y las de antiniebla.","q_f9e402a3","Señale la respuesta correcta respecto a la conducción con niebla.","Es necesario disminuir la distancia de seguridad ya que así podemos aprovechar la luz del vehículo que va delante.","1"
"40","¿Cómo deben ser los elementos de seguridad instalados en todos los vehículos?","De seguridad activa y pasiva.","q_b60cc86a","¿Cómo deben ser los elementos de seguridad instalados en todos los vehículos?","De segurida","1"
"60","¿En qué momento las ruedas no son capaces de desalojar el agua que se acumula delante de ellas?","Cuando la velocidad de circulación es mayor a la de evacuación de agua.","q_d744e90e","¿En qué momento las ruedas no son capaces de desalojar el agua que se acumula delante de ellas?","Cuando los neumáticos tienen su dibujo.","1"
"61","¿Cómo se puede deshacer la posible escarcha acumulada en los vidrios del vehículo?","Con alcohol","q_e67c951b","¿Cómo se puede deshacer la posible escarcha acumulada en los vidrios del vehículo?","Con zumos naturales.","1"
"67","¿Qué debe hacerse en el caso que se aparque el vehículo en una zona con riesgo de nevadas?","Levantar los limpiaparabrisas.","q_dad69252","¿Qué debe hacerse en el caso que se aparque el vehículo en una zona con riesgo de nevadas?","Utilizarse el freno de mano.","1"
"68","¿Por qué se tiene que lavar el vehículo cuando se ha circulado mucho sobre nieve?","Por el efecto corrosivo de la sal, que se utiliza en las carreteras, en la carrocería.","q_c7f98b18","¿Por qué se tiene que lavar el vehículo cuando se ha circulado mucho sobre nieve?","Por el efecto corrosivo de la nieve .","1"
"78","¿Cuáles son las principales medidas que debemos adoptar en caso de viento fuerte?","• Minorar la velocidad. • Sujetar firmemente el volante. • Extremar la precaución en los pasos de zonas protegidas a desprotegidas. • Todas las respuestas anteriores son correctas.","q_321bc30c","¿Cuáles son las principales medidas que debemos adoptar en caso de viento fuerte?","Minorar la velocidad.","1"
"81","¿Cuáles son los peligros fundamentales en la conducción con nieve?","• Menor adherencia. • Menor visibilidad. • Las marcas viales pueden estar ocultas. • Todas las respuestas anteriores son correctas.","q_90844589","¿Cuáles son los peligros fundamentales para la conducción con nieve?","Menor adherencia.","0.9394"
"99","¿En qué nivel de circulación se encuentra una vía si, para circular por ella, debe extremarse la precaución y la atención?","Amarillo.","q_61759f3d","¿En qué nivel de circulación se encuentra una vía si, para circular por ella, debe extremarse la precaución y la atención?","Rojo.","1"
"100","¿En qué nivel de circulación se encuentra una vía en la que debe circularse con cadenas?","Rojo.","q_6387ae2a","¿En qué nivel de circulación se encuentra una vía en la que debe circularse con cadenas?","Negro.","1"
"101","¿En qué nivel de circulación se encuentra una vía que se considera intransitable por las circunstancias meteorológicas?","Negro.","q_66770bff","¿En qué nivel de circulación se encuentra una vía que se considera intransitable por las circunstancias meteorológicas?","Amarillo.","1"
"112","En caso de condiciones meteorológicas adversas por nieve, ¿qué se recomienda hacer si el nivel de circulación es negro?","No abandonar el vehículo si no se está seguro de encontrar un refugio.","q_9f2c573d","En caso de condiciones meteorológicas adversas, ¿qué se recomienda hacer si el nivel de circulación es negro?","Continuar la marcha.","0.9138"
"116","¿Qué acciones hay que realizar para conducir con seguridad?","• Utilizar el vehículo con la máxima atención. • Anticiparse a las acciones de los demás conductores. • Anticiparse a las acciones de los peatones. • Todas las respuestas anteriores son correctas.","q_34850c48","¿Qué acciones hay que realizar para conducir con seguridad?","Utilizar el vehículo con la máxima atención.","1"
